lang,topic,question,"answer"
fr,Santé,Le test du VIH,"Vous puvez connaitre votre statut sur le VIH par un test de sang, disponible dans tant de centre de santé. Le teste est gratuit. Vous aurez des conseils avant et apres le l'examen. Souvent on fait 2 examens. Les résultats sortent dans les 20 min. L' échantillon de votre sang pourrait aller au laboratoire, et les résultats sortent après quelques jours.Les examens de VIH sont précis.Plusieurs organisations offrent le test de VIH,counselles sociaux et traitement.Visitez: www.tac.org.za ou La List de Contact pour plus d'info."
fr,Santé,PTME,"Femmes enceintes avec VIH doivent etre traitées avec la Névirapine, disponible aux centre de senté gouvernementaux et protegent l'enfant contre l'infection du VIH los de la naissance. Le neverapine est un antirétroviral (ARV), Voir la list de contact/www.tac.org.za"
fr,Santé,Traitement de ARV,"Le traitement de l' ARV commence pendant que les malidies liées au VIH manifestent les faiblesses et les CD4 chuttent à 350. L' ARV peut commencer 8-10 ans après l' infection pour certain. Consultez le médecin pour votre bonne traitement.Cela ne dépend pas de votre genre de permis , vous avez droit au traitement d' ARV gratuit."
fr,Santé,Abus sexuel,"Si vous voulez reported la violence sexuelle, allez à la police avec les preuves de la scène. Ça vous aide pour le procès. Vous pouvez changer les habits mais prenez avec vous ce que vous etiez habillés lors de l'incident avec vous; vous n'avez pas besoin de raporter ceci pour avaoir les soines medicaux. Si vous êtiez VIH negatve avant le viole, vous avez droit 28 jours pour un traitement d' ARV dans les 72 heurs de l'incindent pour prévenir le VIH. Informez-vous à: Lovelife: 0800121900;AIDS ' Ligne d'assistance: 0800 01 2322/ 0800 11 0605"
fr,Education,Vos droits,"Toute persopnne a droit a l'education en RSA. Vous devez avoir un permis d' étude valide en RSA ou un autre permis acceptable par la oi. En RSA avec in autre genre de permis? Vérifiez si ça vous permet d' étudier en RSA. Il peut y avoir quelques conditions à appliquer."
fr,Education,Ecole,"La creche / creche est pour les enfants de 0 - 6ans, école primaire, de 7-13 ans et le secondaire 13 - 19 ans. Si vous ne pouvez pas payer les frais scolaires, demandez à l' école d' y travailler pour couvrer les frais pour votre enfant. L' enfant devra avoir unvisa ou passeport valide en RSA pour étudier. En RSA, c'est une loi pour l'enfat d'aller a l'ecole. Conseil: l'age de l'ecole pour l'enfant est flexible. Ainsi les enfants de different age peuvent etre dans une meme classe. Les écoles publiques ne permettent pas que l' enfant sois plus âgé de 2ans que ses camarades de classes."
fr,Education,Demande,"Les enfants -refugiés et les demandeurs d'asyle ont les memes droits a l'education de base que les enfants sud-africains. Faites les enregistrer à l' école primaire proche de vous. Prenez l'ami pour vous aider si votre anglais n'est pas bonne. Les inscriptions commencent en juillet. S' il vous est difficile d' obtenir l'admission de l' enfant dans une école proce de vous, demander au directeur de l'ecole un lettre formelle pour cela et contactez le DOE. si cela ne marche pas, approchez le pourvoyeiur des services sociaux ou LHR. Pour plus d'info, voir la liste des contacts."
fr,Education,Conseils,"Les parents/guardiens devront enregistrer l' enfant.Donnez vos détails de contact de votre famille. Remettez à l' école une copie certifiée de l' enfant et /ou des parents et le certficat de vaccination.Vous pouvez obtenir la carte de vaccination, si vous n'en avez pas, dans les 3 mois dans une clinique locale de la municipalité."
fr,Education,Frais scolaires,"Si vous ne pouvez payer les frais scolaires, demandez les formaulaires d'exemption disponible a l'ecole et completez-les. Vous devez produire une preuve de vos revenus (bulletin de payment, declaration, lettre etc) & donner l'info sur vos depenses & responsabilités. Postuler pour l'exemtion a chaque debut du trimestre. Garder l'evidence de rendez-vous, lettres avec l'ecole. Si vous ingoez les avis, l'ecole peut vous faire payer. Une ONG - voir sur la liste des contacts - peut supporter les études (uniformes, materiel scolaire, minerval etc). Si vous ne pouvez pas payer l'uniforme, votre enfant peut porter les habits de la meme couleur mais doit aller etudier. Ne ne devriez payer les frias d'inscription.Les écoles publiques ne réfuse pas l' enfant quand vous ne pouvez pas payer."
fr,Education,Besoins spéciaux,"Les enfants avec les besoins speciaux vont dans des écoles appropriées.Sur ce, contactez le DOE à propos des écoles.Enregistrer l' enfant dans une telle école spéciale est un long procéssus.Faites enregistrer votre enfant sur la liste d' attende le plutôt possible."
fr,Education,Université,"Vous pouvez faire l' université ou évaluer vos diplômes de votre pays d' origine à ceux de la RSA.La qaulification universitaire peut vous aider a entrer dans le marché du travail. Etant réfigié, l'éducation tertiere n'est pas guarantie. Vous pouvez postuler pour etudier a l' université ou technikon avec plus de formation practique en RSA. Contactez le bureau international des étudiants dans l' université / technikon de votre choix.Demandez plus d' info sur leurs normes."
fr,Education,Conseils sur l'université,"Vous devez payer les frais d' enregistrement international & les frais scolaires locales. Introduisez un formulaire de SAQA avec des copies des diplômes certifiés par SAQA de vos relevés scolaires. le processus peut prendre 3 mois. Vous passerez un test d' anglais au TOEFL, IELTS, PTEEP pour provez vos connaissances anglaises. Les info sur les bourses sont disponibles a l'internet ou au bureau de l'uni/tech. Le HCR offre une bourse DAfi pour les refugiés d'en dessous de 28 ans ayant finit les humanités.Voir 'Services utiles' pour les conditions."
fr,Education,Education d' un adult,"Il y a des organisations et communautés des refugiés qui offrent l'education des adultes - refugies ou demandeurs d'asyle, la pluspard de ce genre d'education est gratuite. Certains centres de formation offrent les cours des langues. Les efforts personnels et formations proféssionnelle aident pour avoir de l' emploi. L'education des adultes encourage l'integration sociale en RSA. Voir 'Services utils' pour plus d'info.'"
fr,Manger/Dormir/Banque,Vos droits,"Vous avez droit a la nourriture, eau et logement.Quelques organisations assistent les refugéis & demandeurs d'asyle avec cela. L'assistance est limitée et a court terme avant de vous prendre en charge vous-memes. Certaines eglises & centres religieux donnent la soupe aux refugiés & demandeurs d'asyle. Pour plus d'information, voir'Services utiles'."
fr,Manger/Dormir/Banque,"Logement,Certaines ONGs les hébergent.Voyez 'Services utiles/ou journaux'.Les agences immobilères vous exigent des frais de loyer à payer au début de chaque mois. On peut vous demander de payer les frais de caution d'un mois pour le loyer. Il faut signer le contract pour loyer."
fr,Manger/Dormir/Banque,Explusions,"La loi protège les refugiés et demadeiurs d'asuyle de l'éxpulsion illégale.Le bailleur devra avoir un ordre du tribunal avant de vous expulser; sans cela, le bailleur ne peut pas vous forcer l'eviction.Contactez le Tribunal de Location des Maisons sur 011 630 5035/0800046873.En cas de dispute entre locataire et bailleur ou au cas du mauvais tratement."
fr,Manger/Dormir/Banque,Problèmes bancairs,"Les banques ignorent parfois les droits des refugés et demandeurs d'asyle yant un permis valide.Ils peuvent refuser de vous ouvrir le compte bancaire. FNB, Standard Bank et Nedbank acceptent les permis des demandeurs d'asyle et refugiés.Renseignez-vous auprès aux autres immigrants sur les banques qui acceptent les refugiés et demandeurs d'asyle."
fr,Manger/Dormir/Banque,Copmte bancair,"Âgé de 16 ans ou plus avec un valide pemis.Apportez les documents exigés come preuve do votre residence, permis et l'argent pour ouvrir le compte etc.Vous pouvez avoir tous les documents; la banque aura toujours à décider s' il faudra vous ouvrir un compte ou non. Un avocat peut vous assister à ouvrir un compte."
fr,Manger/Dormir/Banque,Autres options,"Les épargnes et coopératioves de crédit souvent ouvrent des comptes bancaires pour les refugési.Ils opèrent comme les syndicats de crédit.Ils n' opèrent pas comme des banques ordinaires."
fr,Subventions sociales,Sur les subventions,"Les réfugiés reconnus peuvent bénéficier d' une assistance sociale dans certains circumstances.Ceci ne s' applique pas pour les demandeurs d' asyle."
fr,Subventions sociales,Handicap,"C' est une subvention sociale mensuelle temporaire ou permanente pour les réfugiées qui ne peuvent pas pas travailler par suite d' un handicap mentale ou physique. Les parents / gardiens réfugiés d' un enfant avec infirmité en dessous de 18 ans peuvent faire une demande de subvention des soins de dépendence."
fr,Subventions sociales,Famille d' acceuil,"Parents adoptifs réfugiés peuvent faire la demande d' une subvention de famille d' acceuil au Dépt.de Developement social.Un tribunal devra confirmer que vous etes parent adoptif. La subvention est généralement pour une période de 2ans."
fr,Subventions sociales,Assistance sociale,"L' assistance humanitaire est limitée au citoyens de RSA.Vous devriez faire la demande au SASSA rapproche de votre domicile.Chaque subvention exige différents documents à présenter."
fr,Subventions sociales,Demande,"Chaque subvention exige des différents documents à soumettre.Visitez le site internet de SASSA: www.sassa.gov.za ou appelez sur le 0800 60 1011.Aller au bureau de SASSa proche de votre domocile."
fr,Subventions sociales,SASSA-EC/WC/NC,"EC: Imm. BKB, croisement des av. Fitzpatrick & Merino, Quigney; Tél: 043 707 6300; Email: GrantsEnquiriesEC@sassa.gov.za; NC: Imm. Du toitspan No95-97,AV/ DUToitspan, Kimberley Tél: 053 802 4900 Email: Grants EnquiriesNC@sassa.gov.za;WC: Golden Acre, AV/Adderly,CPT: Tél: 021 469 0200 Email: GrantsEnquiriesWC@sassa.gov.za"
fr,Subventions sociales,SASSA-GP/FS/KZN,"FS: Immeuble/African Life, No 75 AV/Andrews, FS,Tél: 051410080, Email: GrantsEnquiriesFS@sassa.gov.za; Gauteng: No 28 AV/Harrison,JHB,Tél: 0112418300 Email: GrantsEnquiriesGP@sassa.gov.za;KZN: No1 AV/Street, ZN; Tél; 0338463300; Email: GrantsEnquiriesKZN@sassa.gov.za"
fr,Subventions sociales,SASSA-NW/MP/LP,"MPUMALANGA: No 18 Av Ferreira,NLP, Tél: 013 754 9428 Email: GrantsEnquiriesMP@sassa.gov.za; NORTH WEST: Master Center,Industrial, Mafikeng. Tél: 018 388 0060 Email: GrantsEnquieriesNW@sassa.gov.za LIMPOPO: No 43 AV/Landros Mare, LP, Tél: 015 291 7400 Email: GrantsEnquiriesLIM@sassa.gov.za"
fr,Sécurité & Relocation,Xénophobie,"La victime de xénophobiequi signifie la haine contre les étrangers, devra rapporter à la police proche de son domicile et y faire un rapport bien détaillé de l' incident. La police ouvrira un dossier et vous en remettra le no. En cas de perte de votre document, faites un affidavit/déclaration à la police. Contactez la RRO pour votre nouveau permis."
fr,Sécurité & Relocation,Relocation,"Quelquesfois, le HCR aide les refugiés d'aller d'un liau an un autre (relocation). Il y en a 4 options: réinstallation, relocation interne, rapatriement volontaire, le regroupement familiale. Relocation ne fait pas partie du processus d'asyle, il n'y a que les cas exceptionnels pour les refugiés reconnues comme tels par le HCR apres avoir indentifer le besoin de protection. Le HCR les intervewera pour le statut et son résultats peuvent être differents de ceux du DHA."
fr,Sécurité & Relocation,Réinstallation,"La réinstallation est un movement assisté d' un réfugié avec sa famille d' un pays à un autre.Ces sont des cas exceptionnels lorsque les officiers de RSA ne peuvent pas sécuriser les réfugiés affectés. les problemes generaux comme crime, xenophobie en RSA ne sont pas les criters de réinstallation. Le HCR va vous installer dans un endroit durable en RSA avant la considération de la réinstallation."
fr,Sécurité & Relocation,Critères,"Si les officiers de RSA ne peuvent pas sécuriser les réfugiés affectés en RSA, alors l'option de la reinstallation est considérée. Demander un avocat si vous sentez dans une de ces 4 options de relocation. Le HCR va vous installer dans un endroit durable en RSA avant procéder au réinstallation."
fr,Sécurité & Relocation,Demande,"Veuillez prendre les rendez-vous les lundis au HCR. Ils consultent les mardis et jeudis. Le HCR votre cas pour voir si vous en etes eligibles.Le HCR vous répond par écrit si le résultat est négative.Si le HCR décide positivement sur votre demande, il consultera un 3ième pays pour revoir votre demande.Le 3ième pays vous interviewra s' il est d' accord pour votre réinstallation, on pourra vous faire l'internview au nouveau pays d'acceuil et vous irez pour un examen médical.Le procéssus peut durée 1-2 ans."
fr,Sécurité & Relocation,Relocation en RSA,"La relocation interne est un mouvement du refugié et sa famille en RSA pour la protection.Dans des cas exceptionnels vous pouvez être avoir une relocation pour avoir accès facile au HCR; le process est presque similaire au reinstallation, vous ne pouvez pas postuler simplement pour le transport. Si le HCR approuve votre demande, il vous trouve un lieu approprié. Lr HCR payera le transport, loyer et service necessaires temporaires."
fr,Sécurité & Relocation,Rapatriement,"Le rapatriement volontaire: Une décision personnelle par un refugié / ou demandeur d'asyle de rentrer dans son pays d'origine . Prenez le formulaire de la demande au HCR, LHR, Wits ou UCT law Clinics.Vous passerez un interview devant l'avocat qui confirmera que l'information sur le formulaire est correcte. Votre formulaire sera envoyé avec une recommandation au HCR ou IOM qui décidera et préparera votre retour.Caonseil: Vous perdez votre statut de réfugié à votre retour au pays natal."
fr,Sécurité & Relocation,Reunification,"Vous pouvez demander à votre famille de vous rejoindre en RSA, ou de les rejoindre dans un autre pays.Dans des cas exceptionels, le HCR peut vous assister avec le transport. UCT law clinic, LHR ou JRS, peuvent vous aider avec la demande.Conseil: La demande de la reunification familiale est faite au DHA à la RRO"
fr,Sécurité & Relocation,Tracer la famille,"The SARCS, ICRC & HCR assistent avec le tracement et réunification des familles et avec la protection des enfants lors du processus. La Croix Rouge aide à réunir les enfants non-accompagnés, sepaés et les paresonnes agées et autres. Donnez toujours assez de details sur la personne perdue, raisons de la séparation etc Consulez la Croix Rouge et Croissant Rouge pour voir si la personne est reinstallée. Retrouver la personne perdue, dépend de l' info & l' accessibilité de son emplacement.Les conflits armés/naturels at autres desastres peuvent ralentir le procéssus."
fr,LGBT & VAWC,Droits des LGBTI,"La loi en RSA protège les droits des LGBTI. Les LGBTI victimes d' un maltraitement devront contacter la police. Les victime des propos injurieux peuvent poser une plainte auprès de la SAHRC ou approcher le Tribunal de l'Egalité pour une solution."
fr,LGBT & VAWC,Sécurité des LGBT,"La loi sur les réfugiés déclare que les LGBTI peuvent être protégés s' ils sont persécutés pour leur orientation sexuelle. N' ayez pas peur de révéler votre orientation sexuelle lors de la demande d' asile.La RRO doit garder votre information confidentielle."
fr,LGBT & VAWC,Assistance des LGBTI,"Contactez LHR ou une autre organisation juridique si votre déclaration de demande d'asyle n' est pas traitée avec sensitivtét.www.lhr.org.za; 011 339 1960/ 012 320 2943."
fr,LGBT & VAWC,Assistance en cas d' abus,"L'abus est illégal en RSA. Prenez l'assistance juridique gratuite des oranisations des femmes et enfatns séléctionnées; appelez sur 0800150150.Pour une assistance et conseil psyco-sociale."
fr,LGBT & VAWC,Droits des abusés,"Les femmes et et enfants ont droit de vivre sans abus.Tout abus doit être rapporté à la police.Une ordonnance de protection vous épargne de violence dans toutes ses formes comme l'intimidaation, abus physique, verbale ou sexuelle.L' abus des femmes et des enfants est illégal."
fr,LGBT & VAWC,Rapporter un abus,"Abusés, rapportez-le au post de police proche de vous. La police vous ouvrira un dossier et vous en remettra le no. Un officier devra investiguer votre cas.Vous irez pour un examen médical ou counseling. Il y a des postes de polices qui ont un service reservé pour les cas d' abus de tous les genres."
fr,LGBT & VAWC,Protection,"Si vous avez peur de plus d' abus, allez au tribunal pour avoir une ordonnance de protection contre l' abuseur afin de stoper ses actions, d' être à 100 metres de vous ou de lui forcer de quitter votre domicile. Vous n' avez pas besoin d' un avocat. Apportez au tribunal toutes les preuves pour vous aider. Avec une preuve suffisante, on vous donnera une order de protection temporaire et un mandat d'arret suspendu."
fr,LGBT & VAWC,Désobéir P.O,"Si l' abuseur récidive, vous pouvez le/la faire arrêter. Présentez-vous une seconde fois au tribunal avec votre abuseur. Le tribunal vous écoutera et pourrait vous donner une ordonnance de protection finale. Si l' abuseur désoye l' ordre, il/elle peut être arrêté."
fr,LGBT & VAWC,Trafic des personnes,"Le traffique d' humain: récruter les gens et les enmener dans un autre pays avec des fausses promesses. Les victimes sont exploités et ne sont pas libres de quitter. On les donne des fausses promesses comme le travail, meilleure vie etc et sont forcés de travailler dans des conditions inhumaines. Appelez l' IOM sur : 0800555999 ou contactez la police si vous connaissez un cas de pareil trafic."
fr,Apatridie,Cas d' apatridie,"Une personne apatride n' a pas de citoyenneté d'un pays quelconque.Vous risquez le cas d' apatridie si votre nationalité n' est pas deciée.Tous ceux qui n'ont pas de document ne sont pas tous apatrides.Ex.:Votre naisance n' est pas enregistrée, manquer de certificat de naissance, ID ou passeport."
fr,Apatridie,Risques,"Une personne sans document risque l' apatridie. Ex: Né dans un pays étranger, mort ou abandon par vos parents, entrée illégale dans un pays, métissage, perte de la carte de clinique ou enregistrement, vivre régulièrement à cheval entre deux pays très rapprochés ou quand la loi ne permet pas une double nationalité."
fr,Apatridie,Enregistrement des naissances,"Un certificat de naissance identifie vos origines. C'est la plus importante preuve de votre nationalité. Les sud - africains nés en déhors du pays ont droit d' avoir un cetrificat de naisance de RSA. Les enfants étrangers nés en RSA ont droit au certificat de naissance. ce qui ne veut pas dire qu'ils ont la citoyenneté sud-africaine. Les enfants nés en RSA doivent etre enregistrés avec DHA dans les 30 jours de naissance, si non, il faut postuler pour l'enregistrement tardive. Des demandes pareilles seront fermées deuis decembre2015."
fr,Apatridie,Citoyenneté,"Vous pouvez reclamer la nationalité sud-africaine si, vous êtes nés des parents sud-africains, nés au moment où les parents etaient résidents permanents en RSA, aussi si vous avez vécus en RSA jusqu' à l' êge de 18 ans, adoptés par les parents sud- africains,nés en RSA sans autre citoyenneté, ou pas permis d' avoir autre citoyenneté."
fr,Apatridie,Conseil juridique,"Si vous avez des difficultez pour enregistrer une naissance ou l' accès à la nationalité dans le pays ou vous êtes nés, contactez la LHR sur 011 339 1960/ 012 320 2943.Pour une l'assistance / conseil."
