English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Chr,English Content,Chr Count for SMS,Translation,Character Count,Chr Count for USSD Screens,,,
,,,,,,,,,,,,87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,The Process,11,Mchakato,8,Your Duties,11,Majukumu yako,13,11,"Asylum seekers and refugees are protected by SA’s Constitution when they obey the law and accept the asylum seekers' duties. It’s your duty to go to the RRO when you arrive in SA and truthfully explain why you want asylum. It’s your duty to obey the law. If you commit a crime in SA you will be prosecuted like any other South African. Peace is your right and duty. If you assist in armed attacks against your country, you may lose your refugee status and go to jail.",467,"Wakimbizi wanalindwa na Katiba ya SA wakati wao hupashwa kuheshimia sheria na kukubali majukumu  za wakimbizii  . Ni jukumu yako kuenda RRO  ukifika  katika SA na kueleza kwa kweli kwa nini unataka hifadhi. Ni wajibu wako kutii sheria . Kama unafanya uhalifu katika SA utashitakiwa kama mwenyeji  mwingine  wa Afrika Kusini . Amani ni haki yako na wajibu. Kama ukisaidia katika mashambulizi ya kijeshi dhidi ya nchi yako , unaweza kupoteza hakii yako ya ukimbizi na kufungwa",474,503,,,
,,,,The Process,11,Mchakato,8,Eligibility,11,Uhakika,7,11,"Fill out the eligibility form. Answer honestly. You will be interviewed later so give as much detail of your true story. Bring with you all documents that show who you are and where you come from. Copies will be made so you keep the originals. After fingerprints are taken, a case number and file number will be given. Write down these important numbers.",354,"Jaza fomu  ya uhakiki. Jibu kwa uaminifu. Utakuwa na mahojiano baadaye ni lazima ili utoe maelezo kutosha ya hadithi yako ya kweli . Leta  nyaraka zote ambazo zinaonyesha wewe ni nani na unatoka wapi . Nakala zitafanywa ili ziweke kwa asili. Baada ya alama za vidole kuchukuliwa ,  utapewa kesi namba na faili idadi . Andika namba hizi muhimu .",344,390,,,
,,,,The Process,11,Mchakato,8,Free to Apply,13,Kuomba bure,11,13,"Don’t pay anyone – no officials, no security guards. The process is free. Fight corruption. Tip: If a DHA official asks for a bribe, get his/her name. Note down the official’s physical features, as well as the date and time of the incident. Tip: There is no need to pay fees. Call the DHA’s toll-free hotline on 0800-601-190 to report corruption. You will remain anonymous. ",374,"Usimlipe mtu  - hata Maafisa wala walinzi. Mchakato ni bure. Kupambana na Rushwa . Shauri : Kama afisa wa DHA  anakuomba  Rushwa , tafuta  jina lake, andika sifa za kimazingira, pamoja na tarehe na wakati wa tukio hilo. Mwanga: Hakuna haja ya kulipa ada . Piga simu bure ya DHA juu ya kuripoti rushwa kwenye namba  0800-601-190 . Wewe hutajitambua na majina yako.",363,410,,,
,,,,The Process,11,Mchakato,8,Permit,6,Kibali,6,6,"You will get a Section 22 permit (Asylum-seeker permit) when you apply. It's proof you've applied. You're not a refugee yet. Your permit lets you work or study in SA. Check the permit conditions or ask. Know if it’s valid for 1 month or 3. Make a copy of the permit. Always carry it with you. Keep renewing it before it expires. A decision can take months or years. Tip: If you don’t renew your Section 22 permit before expiry, you could be arrested/detained/fined.",465,"Utapata kifungo cha 22 (Kibali cha Wakimbizi) Ukiomba.Ni ushahidi.Wewe si mkimbizi.Kibali chako kinakuruhusu kusoma na kufanya kazi SA.Angalia hali ya kibali na ulize kama iko halali miezi 1 au 3.Fanya nakala ya kibali.Weka upya. Tip: Usipo fanya upya kibali cha kifungu 22 ,Unaweza fungwa/zuizini/faini.",304,501,,,
,,,,The Process,11,Mchakato,8,Interview,9,Mahojiano,9,9,"You'll be interviewed when you apply for asylum. Expect questions about you and your country. You may bring a legal representative or interpreter. Your representative can only observe. You can also bring witnesses, affidavits or other evidence to help. You will get a decision on the day or later. Get your permit stamped before you leave. Married couples must both be interviewed if applying together. Name your wife or children in another country to add them to your file.",474,"Utakua na mahojiano ukiomba hifadhi. Maswali  yanaokuhusu na nchi yako. Unaweza leta mwanasheria au mkalimani. Huyo atachunguza tu.Unaweza pia kumleta mshahidi, maandiko chini ya kiapo au ushahidi nyingine. Utapata uamuzi hiyo siku. Pata mhuri kwenye kibali kabla kuondoka. Wenandoa watahojiwa pamoja. Taja  ya majina ya mwanamke na watoto pale popote wako wawekwe  kwenye faili  moja.",385,510,,,
,,,,The Process,11,Mchakato,8,Interpretation,14,Tafsiri/ukalimani,17,14,"If you don’t speak a language of SA well enough to explain your claim, you need an interpreter. If DHA doesn't provide one, you must acquire and pay for your own. Get a person you trust to translate word-for-word; not one who’ll make up a story to get you refugee status. Speak slowly and ask to have your statements read back to you. Ask the official to write down any changes made. Sign the form. Your legal help, a testifying witness or a compatriot can't interpret for you.",477,"Kama huwezi kuongea lugha ya SA vizuli ili  ukaeleza madai yako,unamhitaji mkalimani. DHA haitoi  hata mmoja, lazima ujilipie. Pata mtu mwanifu  neno-kwa-neno; siyo mwenye atasema maneno ili utape hadhi ya ukimbizi.ongea polepole na omba wakusomee hadithi yako. Uliza afisa kama kuna mabadiliko. Saini fomu. Mwanasheria ,mshahidi wako au mwenzako hawezi kukutafsiria.",367,513,,,
,,,,The Process,11,Mchakato,8,Free Legal,10,Kisheria bure,13,10,Some university law clinics and human rights organisations offer free legal advice to asylum seekers and refugees. The UNHCR has legal counsellors specialising in refugee law in 5 SA cities. See ‘Useful Services’ for more info. Legal counsellors can advise on your asylum application or help you with an appeal if your asylum application has been rejected. Counsellors can only give you legal advice. They don’t provide accommodation or food. See Social Services for more info.,477,Kliniki za sheria fulani  katika Vyuo vikuu na mashirika ya haki za bianadamu hushauri kwa  bure wanaotafuta hifadhi na wakimbizi. UNHCR ina mashauri maalumu wa kisheria katika sheria za ukimbizi katika  miji 5 ya SA. Ona 'huduma maalum' nyinginezo . Mshauri ya kisheria wanaweza kukusaidi kwa ombi ya hifadhi au usaidizi wa kupiga rufaa kama hadhi yako imekataliwa. Mshauri husaidia na ushauri. Hawapeani makao au chakula.,423,513,,,
,,,,The Process,11,Mchakato,8,About Lawyers,13,Kuhusu Mwanasheria,18,13,"Private attorneys can help with your asylum application, appeal or SCRA review. You may need to pay for these services. Or contact LHR – they may be able to help or refer you. The Law Society of South Africa has a list of attorneys with experience in refugee law – See ‘Useful Services’. Tip: Always ask about a lawyer’s fees before you accept their services. Make sure your lawyer has the right qualifications. To check, contact the Law Society of SA on 012-366-8800.",468,"Wakili binafsi wanaweza kusaidia na ombi, rufaa au SCRA mapito. Lazima ulipe huduma. Or pigia LHR-wanaeza kukusaidia. Law society ya South Africa wako na wakili wana utaalamu wa sheria za wakimbizi. Ona 'huduma muhimu'. Tip: ulizia wakili hulipwa ngapi. Hikisha wakili  na kufuzu. Pigia Law Society ya Sa kwa 012-366-8800.",322,504,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,127,,,,,,,,
,,,,Appl. Results,13, Matokeo ya ombi lako,21,Successful,10,Mafanikio,9,10,"If your application is approved, you’ll get a Section 24 permit (refugee status). Your permit is valid for 2 to 4 years. You must renew it at your RRO before it expires. Refugees can apply for a refugee ID (maroon ‘ID’) and travel documents. It may take time. Only apply for travel documents if you have a refugee ID. If you don’t, and must travel for an emergency, contact UNHCR. Tip: If you travel back to your country, you could lose your refugee status in SA.",463,"Ombi lako likipita,utapata kibali ya  24 (hadhi ya ukimbizi). Kibali  chako kiko halali  miaka 2 au 4. Fanya upya kwa RRO kabla hakijaisha. Mkimbizi huweza kuomba ID (marron 'ID') na nakala ya  kusafikiria. Huchukua muda. Omba nakala ya kusafiri kama una ID. Usipofanya na unataka kusafiri kwa gafla,pigia UNHCR. Mwanga: Ukienda inchi yako utakosa ukimbizi ya SA.",363,499,,,
,,,,Appl. Results,13,Matokeo ya ombi lako,20,Unsuccessful,12,Aliyeshindwa,12,12,"If a RRO rejects your application, you’re not recognised as a refugee. You have 30 days to give a notice of appeal, otherwise you must document your stay in another way or leave SA. The reason for rejection affects your appeal. If your application. was fraudulent or abusive, the Standing Committee of Refugee Affairs will review it. You have 14 days to give them a written statement on why you disagree, at the RRO that issued the rejection letter. Ask a LHR counsellor for help.",480,"Kama RRO anakataa ombi lako,hautambuliki kama mkimbizi uko na siku 30 kutoa taarifa ya rufaa,ama ufanye namna nyingine  ya kuishi au kuondoka SA. Sababu uhathiri rufaa.  Kama ombi lako ulaghai au unyayasaji, Kamati ya Kudumu Mambo ya Wakimbizi watayikagua. Unasiku 14 kupatiana kauli ya kutokubaliana na uamzi katika ofisi ya RRO ilyokupa barua ya kukataliwa.Omba LHR usaidizi. ",378,516,,,
,,,,Appl. Results,13,Matokeo ya ombi lako,20,Appealing,9,Rufaa,5,9,"Private attorneys can help with your asylum application, appeal or SCRA review. You may need to pay for these services. Or contact LHR – they may be able to help or refer you. The Law Society of South Africa has a list of attorneys with experience in refugee law – See ‘Useful Services’. Tip: Always ask about a lawyer’s fees before you accept their services. Make sure your lawyer has the right qualifications. To check, contact the Law Society of SA on 012-366-8800.",468,"Wakili binafsi wanawezakusaidia kuombi  hifadhi,rufaa au mapitio ya SCRA . Utalipa ada zake. Au pigia LHR- wanaweza kusaidia au kukupeleka mahali pengine . Chama cha wanasheria wa Afrika ya kusini  wana wakili wenye  uzoefu wa sheria za wakimbizi - Ona 'Huduma muhimu'. Mwanga : Hakikisha wakili ana vyeti maalumu. Kuhakikisha, pigia Chama cha wanasheria  wa Afrika ya kusini kwenye simu 012-366-8800.",401,504,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,51,,,,,,,,
,,,,Your Rights,11,Haki zako,9,Asylum,6,Hifadhi/kimbilio,16,6,It’s your right: to have your asylum application processed and decided upon in a fair and transparent way; not to be deported to your country of origin; or be prosecuted for unlawful entry or your presence in SA while your application is awaiting a decision.,258,Ni haki yako: kuwa na ombi lako la hifadhi kushughulikwa na kuliamua katika  haki na kiwazi ; usirudishwe nchi yako ya asili ; au kushitakiwa kwa ajili ya kuingia kinyume cha sheria au kuwepo  katika SA wakati maombi yako anasubiri uamuzi huo.,243,294,,,
,,,,Your Rights,11,Haki zako,9,Work,4,Kazi,4,4,Every refugee or asylum seeker with a valid permit has the right to work in SA. You can be employed or run your own business. You don't need an extra work visa.,160,Kila mkimbizi au mwombaji wa ukimbizi mwenye kibali halali ana haki ya kufanya kazi SA. Unaweza kusajiliwa au kufanay biashara yake mwenyewe. Hauitaji kibali cha kufanay kazi.,175,196,,,
,,,,Your Rights,11,Haki zako,9,Health,6,Afya,4,6,You have the right to basic health and reproductive health care services in SA. You cannot be refused emergency medical treatment. Hospital workers don’t always know the rights of refugees and asylum seekers with valid permits. You can contact Lawyers for Human Rights if you have a problem accessing public health services.,324,Una haki ya matibabu ya afya na uzazi SA. Huwezi kakataliwa matibabu ya dharura . Wafanyi kazi wa hospitali hawajui muda wowote haki za wakimbizi au wombaji wa ukimbizi wenye vibali halali. Pigia Wanasheria wa Haki za Binadamu kama unashidwa kupata huduma ya afya.,264,360,,,
,,,,Your Rights,11,Haki zako,9,Education,9,Masomo,6,9,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. Are you in the country on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,230,Kila mtu ana haki ya elimu ya msingi SA. Lazima uwe na kibali halali kusomea SA. Uko nchini kwenye kibali  kingine  halali? Angalia kama kibali chako kinakuruhusu kusomea SA. Masharti mengine anaweza  kuhusika nawe.,215,266,,,
,,,,Your Rights,11,Haki zako,9,Food &Housing,13,Chakula& makazi/nyumba,22,13,"You have a right to food, water & housing. Organisations offer limited help but you’ll have to support yourself soon afterwards. See ‘Useful Services’ for religious establishments that can help. 

You must look after your social & economic needs. SA Gov, NGOs & UNHCR only help special cases. UNHCR has a limited role in SA (with no camp) & can’t provide for all needs. Along with NGOs, they give limited help in cities with RROs & only for the most vulnerable (moms & kids who’ve been in SA under 2 months, single men with special needs, the ill & disabled). Help can include food & basic housing up to 3 months. Most refugee communities offer little material help, but can offer support. You can access public services like healthcare & education.",749,"Una haki ya kuwa na maji , chakula& mahali pakulala. Mashilika  hutoa misaada midogo lakini ni   lazima ujisaidie baadaye . Angalia 'Hudumu muhimu' za taasisi za makanisa anaotoa misaada. Lazima ujisaide wewe mwenyewe kwenye mahitaji yako ya kijamii na kiuchumi . Serikali ya SA ,NGOs & UNHCR husaidia kesi maalum tu  .UNHCR ina jukumu ndogo (bila kambi) & haiwezi kusaidia mahitaji yote.  Pamoja na  NGOs wanatoa  misaada midogo kwenye miji  ina  RRO, kwenye wanaoishi katika mazingira magumu tu (mama&watoto  hawajakaa zaidi ya miezi 2, wanaume wenye mahitaji maalum, wagonjwa & walemavu).Misaada ingeweza kuwa chaukula au kodi ya miezi 3. Jamii za wakimbizi husaidia kidogo lakini ni msaada wa msingi,k.Unaweza kupata huduma za umma  kama masomo na afya.",757,785,,,
,,,,Your Rights,11,Haki zako,9,Eviction,8,Kufukuzwa,9,8,The law protects refugees and asylum seekers from unlawful evictions. The landlord must have a court order before he can evict you. Remember: only a court can force you to leave. The landlord cannot threaten you or use force to remove you from the property. Contact the Rental Housing Tribunal on 011-630-5035 or 0800-046-873 if there’s a dispute or if you feel you’ve been unfairly treated.,391,Sheria hulinda kinyume cha sheria. Mwenye nyumba lazima pate ili kabla kukufukuza. Kumbuka.ni mahakama too huweza nguvu. Mwenye nyumba hana haki ya kukufuza au kukutoa kwa mali. Pigia Rental Housing Tribunal 011-630-5035 au 0800-046-873 kama una zozo au kutendwa.,263,427,,,
,,,,Your Rights,11,Haki zako,9,LGBTI,5,LGBTI,5,5,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender Individuals (LGBTI). LGBT victims must report crimes to the police. LGBT victims of hate speech can lay a complaint with the SAHRC. Ask for legal assistance if you’re struggling to lodge your claim. Go to the contact list for more info. For LGBTI support in Johannesburg: call GALA on 011-717-4239. Or in Pretoria: call Out Wellbeing on 012-430-3272. In Durban: call Gay & Lesbian Network 033-342-6165.",480,"Katibu ya SA hulinda Lesbian Gay, Bisexual &Transgender  (LGBT).  Mwathirika wa chuki za LGBT huenda polisi kuripoti. Pia anaweza kufungua shutaka la chuki katika  SAHRC. Omba msaada wa kisheria kama unashindwa kufungua madai. Nenda kwa orodha ya mawasiliano kupata habari zaidi. Kwa msaada ya LGBTI  katika  Johannesburg: pigia  GALA 011-717-4239 au Pretoria : Pigia Wellbeing 012-430-3272. Durban: pigia Gay & Lesbian Network 033-342-6165.",441,516,,,
,,,,Your Rights,11,Haki zako,9,Abuse,5,Unyanyasaji,11,5,"Women and children have the right to live free from abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse of women and children is illegal in SA. Get free legal help from women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.",469,"Mama na Watoto wana haki za kuishi huru bila  kunyanyaswa .Kila aina ya unyanyasaji ni lazimaa iripotiwe kwa polisi. Kumbuka. Amri ya mahakama ya ulizi huzuia vurugu. Vurugu huweza kua vitisho, kupigwa ,kijinsia au matusi,Vitisho vya unyanyasajiau kama unapoteza uhuru. Unyanyasaji wa  mama na mtoto ni kunyume  na sheria . Pata shauri ya kisheria ya bure kwenye mashirika ya wanawake na watoto au piga simu bure  0800-150-150 kwa msaada.",438,505,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,96,,,,,,,,
,,,,Arrest,6,Kufungwa,8,Arrest,6,Kukamatwa,9,6,"Valid permit holders are safe from arrest unless they break the law. Police or immigration officials may request your permit to prove your stay is legal, or you may be arrested/detained. If you're arrested, you must prove that you're allowed to be in SA. You will go to a police station until the DHA verifies your identity within 48 hours. Never bribe an officer to avoid being arrested or to get out of jail – it's illegal! Tip: Always carry your permit or certified copy. ",475,"Wenye vibali halali hawawezi kukamtiwa bure  labda wavunje sheria. Polisi au afisa uhamaji  anaweza kukuuliza kibali kuhakiskisha kama unakaa halali, au unaweza kufungwa/ kuwa kizuizini. Ukifungwa thibitisha kwamba una kubaliwa SA. Utaenda kituo cha polisi  mpaka DHA ihakikishe wewe uko nani katika masaa 48. Usihonge afisa kwa  kukwepa kufungwa. Mwanga: tembea na  kibali  au nakala ya kitambulisho iliyothibitishwa.",418,511,,,
,,,,Arrest,6,Kufungwa,8,What to do,10,Cha kufanya,11,10,"There are legal ways out of your arrest. It may take time. Ask to speak to a lawyer. It is your right. If you are arrested and have a valid visa, ask a friend or family to give copies of your valid documents to the DHA. Remember: You have the right to get legal representation if you are arrested. Tip: If you go to a magistrate’s court, you can ask for ‘legal aid’. You will be able to speak to a lawyer for free. ",415,"Kuna njia za kisheria zakufunguliwa. Inaweza chukua muda. Omba  wakili.Ni haki yako. Kama umefungwa na kibali halali,ambia  rafiki au familia kupatia DHA nakala ya kibali chako. Kumbuka. Una haki ya kuwa na  mwanasherai kama unafungwa . Tip: Ukienda mahakamani, uliza 'mwanasheria wa bure'. Unaweza kuongea na wakili bure.",322,451,,,
,,,,Arrest,6,Kufungwa,8,Conditions,10,Hali,4,10,"The DHA officer should verify your documents within 48 hours. It's your duty to carry your permit on you. You have a free phone call to call your friend for a copy of your permit. You can make a statement to DHA that you disagree with the decision to detain or deport you. You can only be detained for 30 days unless a court extends your detention. When the court makes its decision, you must be informed of this in writing, you can gives reasons why you don't agree.",467,"Afisa wa DHA analizimishwa kuthibitisha hati yako ya msaa 48. Niwajibu wako ya kutembea na  kibali. Una haki ya kupigia rafiki yako akupe nakala ya kabili.Unaweza kutoa kauli kwa DHA ya kwamba wewe umekataa kizuizi au kufukuzwa. Unaweza tu kuwa kizuizini kwa siku 30 isipokuwa mahakama inaongeza muda. Wakati mahakama hufanya uamuzi wake , lazima upate taarifa  hii kwa maandishi, unaweza kupana sababu kwa nini unakataa",420,503,,,
,,,,Arrest,6,Kufungwa,8,Deportation,11,Kufukuzwa,9,11,"If you are taken to the Deportation Centre, you may contact a lawyer for legal advice. Lawyers for Human Rights visits the centre every week. Ask your family to notify LHR about your situation and that you need help. If you don’t have legitimate reasons to stay in SA with the necessary documents, you’ll be kept at the centre and deported back home. Contact Lawyers for Human Rights if your conditions of detention are unsafe or violate your dignity.",451,"Ukipelekwa kituo cha kufukuzwa,Pigia wakili kwa mashauri ya kisheria. Wanasheria wa Haki za Binadamu hutembelea centa kila wiki. Uliza familia kuwaarifu LHR hali yako na kubambia kama  unahitaji msaada. Kama hakuna sababu na hati sahihi ya kukaa SA, utawekwa kwenye  kituo cha kufukuzwa na utarudishwa nyumbani. Wasiliana na Wanasheria wa Haki za Binadamu kama hali yako ya kizuizini si salama au inakiuka hadhi yako.",417,487,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,61,,,,,,,,
,,,,Children,8,Watoto,6,Accompanied,11,Akisindikizwa,13,11,"If a child enters SA in the care of a relative who's not a parent, the caregiver must go to the Children’s Court and apply to be legal guardian. Refugee status is given to children/dependants when the head of the family/household’s application is approved. A child’s case may be stronger than the parents' – if so, submit an independent application for asylum. A legal representative, parent or legal guardian must always accompany a child asylum seeker at his/her interviews.",476,"Kama mtoto akiingia SA bila mzazi, mlezi lazima aende mahakamani ya Watoto kuomba ruhusa ya kuwa mlezi wa kisheria.Hadhi ya Ukimbizi hupewa watoto/ wategemezi kama mkuu wa famila alipata . Kesi ya mtoto inaweza kuwa kubwa kushinda ya wazazi, kwa hivyo anaweza kujitegemea kwa ombi la hadhi. Mwakilishi,mzazi au mlezi lazima akuwe mtoto mkimbizi katika mahojiano.",362,512,,,
,,,,Children,8,Watoto,6,Unaccompanied,13,Wasio na wazazi,15,13,A child asylum seeker is unaccompanied when there isn’t a person present whose main responsibility is to take care of the child. Children who were separated from their parents before or during the flight from their country are also ‘unaccompanied’ children. ,258,Mtoto mkimbizi bila kuambatana na mzazi  kama hamna mtu mkubwa ambae ana majukumu ya kumlea na  kumwongoza yule mtoto. Watoto waliopoteana na wazazi kabla au wakati wa wapambano  wanaitwa pia 'Watoto wasio na wazazi'.,217,294,,,
,,,,Children,8,Watoto,6,Documentation,13,Nyaraka,7,13,"Children seeking asylum without a parent/guardian must be referred to the Dept. of Social Development, where a social worker will be assigned to the case. The social worker must work with the DHA to help the child with the asylum application at a RRO. The social worker must also investigate the child's case & give a report. If the child doesn’t have an asylum claim, a legal counsellor must be contacted. Important: children must be documented or they risk becoming stateless.",478,"Mtoto akiomba hifadhi bila mzazi/mlezi lazima apelekwe kwenye Idara ya Maendelo ya Kajamii, penye mfanyi kazi wa jamii atashughulikia kesi yake. Mfanyi kazi wa jamii ataunga mkono na DHA kumsaidia mtoto kuomba hadhi RRO.  Atachunguza tena kesi ya mtoto & apeane ripoti kama mtoto hafai  hifadhi. La muhimu: Watoto lazima wapewe hati bila hivyo watakosa utaifa",359,514,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,57,,,,,,,,
,,,,Helplines,9,simu ya dharura/msaada,22,Contact Numbers,15,Namba za mawasiliano,20,15,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Corruption: 0800-701-701; CCMA: 0861-16-16-16; Abuse: 0800-150-150 or 012-348-1234 or 011-838-0411; Childline: 0800-055-555; AIDS: 0800-012-322 or 0800110605; LoveLife: 0800-121-900.,288,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Rushwa: 0800-701-701; CCMA: 0861-16-16-16; Unyanyasaji: 0800-150-150 au 012-348-1234 au 011-838-0411; Watoto: 0800-055-555; Ukimwi: 0800-012-322 au 0800110605; Lovelife: 0800-121-900.,289,324,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
,,,,,,,,,,,,27,,,,,,,,
,,,,2: Life in SA,13,Maisha ya SA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,399,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Step 2: Life in SA,18,Step 2: Maisha ya  SA,21,Life in SA,10,Maisha ya SA,12,,,,,,,,,,,,,
,,,,Permit Renewal,14,Kugongesha Kibali Upya,22,Renewal,7,Kugongesha Upya,15,7,Renew your Section 22 asylum permit at your RRO office before it expires. Some RRO offices have a separate queue for renewals. Section 24 permits are valid for  2 to 4 years. Apply a week before your permit expires at a RRO. The Standing Committee of Refugee Affairs (SCRA) may review your refugee status in SA based on the situation in your home country. Tip: Take all original documents with you when renewing your permit.,424,Gongesha upya kibali cha kifungu 22 cha  ukimbizi kabla hakijakwisha. Baadhi RRO ofisi  zina mistari tofauti.Kibali cha kigungu 24 kinakuwa   halali  miaka 2 au 4 . Omba kwenye RRO wiki moja  kabla haijaanguka. Kamati Simamizi Kwa Masuala ya Wakimbizi (SCRA) hufanya  mapitio  ya hifadhi yako kutokana na  hali ya nchi ya asili yako.Mwanga: Chukua nyaraka zote awali pamoja nawe wakati unaenda kugongesha  upya kibali chako.,424,460,,,
,,,,Permit Renewal,14,Kugongesha Kibali Upya,22,Fines,5,Faini,5,5,"You'll be fined if you do not renew your permit before it expires. Payment of a fine means you are guilty of not renewing your permit on time and leads to a criminal record. If you have a good reason why you couldn't renew your permit, ask a lawyer for help. A RRO officer will give you the fine and tell you where to pay it. It's not more than R1000. If it is, see a lawyer. Renew your permit at the RRO where you applied for asylum. Tip: Permits are not renewed automatically. ",479,"Utafainiwa kama hujafanya kibali yako upya. Malipo ya faini humaanisha hatia ya kutofanya kibali upya na utakuwa na  recordi ya uhalifu. Uliza wakili wako akusaidie kama una sababu inayoeleweka ya kuchelewa .RRO afisa atakupa faini na atakwambia  penye utailipia. Haizidi  R1000. Kama hivyo , ona wakili. gogengesha upya kibali  aple uliomba hadhi. Mwanga : Viibali  havifanywe upya moja kwa moja.",397,515,,,
