English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Chr,English Content,Chr Count for SMS,Translation,Character Count,Chr Count for USSD Screens,,,
,,,,Your Rights,11,xuquuqdada,10,Food &Housing,13,cuntda iyo guriga,17,13,"You have a right to food, water & housing. Organisations offer limited help but you’ll have to support yourself soon afterwards. See ‘Useful Services’ for religious establishments that can help. 

You must look after your social & economic needs. SA Gov, NGOs & UNHCR only help special cases. UNHCR has a limited role in SA (with no camp) & can’t provide for all needs. Along with NGOs, they give limited help in cities with RROs & only for the most vulnerable (moms & kids who’ve been in SA under 2 months, single men with special needs, the ill & disabled). Help can include food & basic housing up to 3 months. Most refugee communities offer little material help, but can offer support. You can access public services like healthcare & education.",749,waxaad xaq u leedahay helida cunto biyo hayada guryaynta iyo dalab xadidan si laguu cawiyo lkn waan in aad aftada cawiso kadib wad arki adeega sida deemaha oo kle iwm waain aadfiiriso bulshada dhaqaalaha ay u bahan yihiin dawlaada k afrika iyo hayada ha aan dawliga ahayn maa h.q.aduunka  waxay caawiyaan kiisas gara ah waxaana xadada ya sharciga k.afrika sabtu  ma jirto xero lamana cawin karo dhaman bahida jirta gud ahanba hayada ha aan dawliga ahayn waxayna bixiyaan adeeg xadadan x.qabilda q. waxayna cawiyaan hoyada ilmaha dhalan in ayar2 bilood nin kaligii ah kas oo xanuunsanaya ama laxaad la aana waxana laga caawiya sida cuntada iyo qalab  wan suurta gal in aan si guud ucawino adega bulshada,702,785,,,
,,,,Your Rights,11,xuquuqdada,10,Eviction,8,guri ka saarida,15,8,The law protects refugees and asylum seekers from unlawful evictions. The landlord must have a court order before he can evict you. Remember: only a court can force you to leave. The landlord cannot threaten you or use force to remove you from the property. Contact the Rental Housing Tribunal on 011-630-5035 or 0800-046-873 if there’s a dispute or if you feel you’ve been unfairly treated.,391,Sharciga difaacaya qaxootiga  ama magan galyo doonka. Mamulka guriga waa in u ladadha sharci.O gow maxkamada maku qasboso. Mamulka maku qasbi karo inad guri geda katagtit. Waac tribuna kiradha guriga 011-630-5035 ama 0800-046-873 hadii ad umaleynaeyso xaaf daro ina laguguheysto.,279,427,,,
,,,,Your Rights,11,xuquuqdada,10,LGBTI,5,arimha guurka iyo galmada,25,5,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender Individuals (LGBTI). LGBT victims must report crimes to the police. LGBT victims of hate speech can lay a complaint with the SAHRC. Ask for legal assistance if you’re struggling to lodge your claim. Go to the contact list for more info. For LGBTI support in Johannesburg: call GALA on 011-717-4239. Or in Pretoria: call Out Wellbeing on 012-430-3272. In Durban: call Gay & Lesbian Network 033-342-6165.",480,SA waxy difaacday dhamaan sida galmada jinsiga. Isku midka ah sharciyan  ama waxa loo soo gabiyo(lgbti).Hadaba hadad tahay dhibane wac waaxda wargalinta danbiyada sida nacayka hadal wax joohaanisbeg gala 0117174239 ama biritoorya wac wibegi0124303272 ama darban wac kkanisinta ama isku xidhka0333426165,302,516,,,
,,,,Your Rights,11,xuquuqdada,10,Abuse,5,xadgudubka,10,5,"Women and children have the right to live free from abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse of women and children is illegal in SA. Get free legal help from women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.",469,"Haweenku iyo ciyaalka waxy xaq uleeyihiin in ay ku nooladan xor. Hadey jirto xaad gudub daan bolisa usheg. Xadgudub wa handaada jirka,galamada, xagudub waxey dici kartaa marka aad hor weyso. Xadgudub wa sharci daraada ah SA. Cawis oo dumarka iyo carurta wa uruka waac 0800-150-150- tagero iyo talabixin.",303,505,,,
,,,,,,,,Back,4,kanoqo,6,4,,,,,,,,
,,,,,,,,,,,,96,,,,,,,,
,,,,Arrest,6,xidhtanka,9,Arrest,6,xidhitaanka,11,6,"Valid permit holders are safe from arrest unless they break the law. Police or immigration officials may request your permit to prove your stay is legal, or you may be arrested/detained. If you're arrested, you must prove that you're allowed to be in SA. You will go to a police station until the DHA verifies your identity within 48 hours. Never bribe an officer to avoid being arrested or to get out of jail – it's illegal! Tip: Always carry your permit or certified copy. ",475,Kuwa haysta shaqaynaya waxay ka xabsi hadii ayna jabin. Booliska ama sharciyada ku waydiin karaan sharcigaga si ay u hubiyaan. Hadii lagu xidho ama hayo xabsi hubi in laguu ogolaaday SA. Ad  waxba  waa in ay hubiyaan. Xabsiga ku jiri kartaa 48 saac kaliya  mana bixin kartid wax ah m wado ama koobi shanbad bolis leh.,317,511,,,
,,,,Arrest,6,xidhtanka,9,What to do,10,waxa la sameeyo,15,10,"There are legal ways out of your arrest. It may take time. Ask to speak to a lawyer. It is your right. If you are arrested and have a valid visa, ask a friend or family to give copies of your valid documents to the DHA. Remember: You have the right to get legal representation if you are arrested. Tip: If you go to a magistrate’s court, you can ask for ‘legal aid’. You will be able to speak to a lawyer for free. ",415,Waxaa jirta wadooyin oo laguu xidhi karo. Adiga ka yimid sharcigaga in la wahti ayay qaadan. Hada la sharci yaqaankaga ama sxbkaga ama qoyska si ay kugu kobiga. Waxa saxda ah xaq u leedahay in ad hesho matala hadii lagu xidho talo lagu geeyo maxkamada waxaad codsan kartaa caawin si uu kugudoodo lcag la aan.,308,451,,,
,,,,Arrest,6,xidhtanka,9,Conditions,10,xaalada,7,10,"The DHA officer should verify your documents within 48 hours. It's your duty to carry your permit on you. You have a free phone call to call your friend for a copy of your permit. You can make a statement to DHA that you disagree with the decision to detain or deport you. You can only be detained for 30 days unless a court extends your detention. When the court makes its decision, you must be informed of this in writing, you can gives reasons why you don't agree.",467,"Waxada waxay xaqiijin karaan 48 saac in aad wadato sharcigaag.  Wajibkaaga hada haday wac sxbkaga ama qoyskaga waxanad ku diidi karta sharciyada in lagugu hayo, xabsiga ama lagu maxkamadu waxay  mudad lagugu haynayo xabsiga waxaanad u cadaynka karta sabta adan u rabin.",269,503,,,
,,,,Arrest,6,xidhtanka,9,Deportation,11,masaafurinta,12,11,"If you are taken to the Deportation Centre, you may contact a lawyer for legal advice. Lawyers for Human Rights visits the centre every week. Ask your family to notify LHR about your situation and that you need help. If you don’t have legitimate reasons to stay in SA with the necessary documents, you’ll be kept at the centre and deported back home. Contact Lawyers for Human Rights if your conditions of detention are unsafe or violate your dignity.",451,"Hadii lagu geeyo xarunta masaafurinta, waxaad soo waci kartaa talo muhim ah. Xuquuqda adaman soo isbuuc kasta ha. Hubiyan xalada iyo wax ku caawiyo hadii ayna kuu ahayn, wado sharci ood ku sii joogto waii diwaan ka  kuna noqo gurigaga. Wac hadii meesha masaafurinta  amaan ahayan ama  ka jiro ama sharaftada.",308,487,,,
,,,,,,,,Back,4,kanoqo,6,4,,,,,,,,
,,,,,,,,,,,,61,,,,,,,,
,,,,Children,8,caruurta,8,Accompanied,11,weheliyay,9,11,"If a child enters SA in the care of a relative who's not a parent, the caregiver must go to the Children’s Court and apply to be legal guardian. Refugee status is given to children/dependants when the head of the family/household’s application is approved. A child’s case may be stronger than the parents' – if so, submit an independent application for asylum. A legal representative, parent or legal guardian must always accompany a child asylum seeker at his/her interviews.",476,"Hadii ilmo uu soogalo wadanka kuwo aan lahayn waalid caawiya  waa in ay aadid maxkamada ciyaalka kana codso difaac waxay ku siinayaa warqad sharciya. Qofka masuulka ah arintaas codsado waa muhim, kadib waxy gudbinayaan codsi magan galyo qofka masuulka ah wa in uu lasocdo ilmaha yar isagu ama iyadu.",299,512,,,
,,,,Children,8,caruurta,8,Unaccompanied,13,aan wehelinin,13,13,A child asylum seeker is unaccompanied when there isn’t a person present whose main responsibility is to take care of the child. Children who were separated from their parents before or during the flight from their country are also ‘unaccompanied’ children. ,258,ciyaalka markan cidi la socon waxa masuuliyada qadanya waxda ilaalinta ciyaalka ama ciyaalka gaarka ka ah waalidka ama kuwa sida gaarka ah uga soo caray wadankoodi ama goobta dagaaka waa lamid,192,294,,,
,,,,Children,8,caruurta,8,Documentation,13,diwaanka,8,13,"Children seeking asylum without a parent/guardian must be referred to the Dept. of Social Development, where a social worker will be assigned to the case. The social worker must work with the DHA to help the child with the asylum application at a RRO. The social worker must also investigate the child's case & give a report. If the child doesn’t have an asylum claim, a legal counsellor must be contacted. Important: children must be documented or they risk becoming stateless.",478,"Ima codsanaya magan galyada iyaga oon la socon walid, waxay la xidhiidhi arimah bulsha iyo kadib waxaa qiimayn kiiska adeega.Waaxda sharciyada ka caawinaysaa codsiga, sharciga. Qabilada waaxda adeega bulshad waa in ay baadho ilmaha. Hadii ilmuhu codsan wa in la wargaliyo waana muhiim ilmu haysto.",297,514,,,
,,,,,,,,Back,4,kanoqo,6,4,,,,,,,,
,,,,,,,,,,,,57,,,,,,,,
,,,,Helplines,9,khadadka,8,Contact Numbers,15,lanbarka la wacayo,18,15,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Corruption: 0800-701-701; CCMA: 0861-16-16-16; Abuse: 0800-150-150 or 012-348-1234 or 011-838-0411; Childline: 0800-055-555; AIDS: 0800-012-322 or 0800110605; LoveLife: 0800-121-900.,288,DHA 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-99440;LifeLine Counselling: 0861-322-322; Masuqmasuq: 0800-701-701; CCMA: 0861-16-16-16; Xadgudbin 0800-150-150 ama 012-348-1234 ama 011-838-0411; Ilmaha 0800-055-55; AIDS: 0800-012-322 ama 0800110605; Chacel 0800-121-900.,285,324,,,
,,,,,,,,Back,4,kanoqo,6,4,,,,,,,,
,,,,,,,,,,,,27,,,,,,,,
,,,,2: Life in SA,13,noolosha k/afrika,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,399,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Step 2: Life in SA,18,,0,Life in SA,10,nolosha k afrika,16,,,,,,,,,,,,,
,,,,Permit Renewal,14,cusboonaysiinta daganashaha,27,Renewal,7,dib u cusboonaysiin,19,7,Renew your Section 22 asylum permit at your RRO office before it expires. Some RRO offices have a separate queue for renewals. Section 24 permits are valid for  2 to 4 years. Apply a week before your permit expires at a RRO. The Standing Committee of Refugee Affairs (SCRA) may review your refugee status in SA based on the situation in your home country. Tip: Take all original documents with you when renewing your permit.,424,Cusboonaysiinta waxda 22 ad ee qaxootiga. Waxada qaabilada   gal safka inta ayna kaa dhicin qaxootiga. Gudida dib u sharicyada qaxootiga ayaa ka go aan gari. 24 aad ka waxuu shaqeeya 2 ilaaa 4 sano ka hor inta uuna kaa dhicin tag (SCRA) sharciga ah waa in aad wadato marka aad cusboonaysid.,290,460,,,
,,,,Permit Renewal,14,cusboonaysiinta dagananshaha,28,Fines,5,ganaaxa,7,5,"You'll be fined if you do not renew your permit before it expires. Payment of a fine means you are guilty of not renewing your permit on time and leads to a criminal record. If you have a good reason why you couldn't renew your permit, ask a lawyer for help. A RRO officer will give you the fine and tell you where to pay it. It's not more than R1000. If it is, see a lawyer. Renew your permit at the RRO where you applied for asylum. Tip: Permits are not renewed automatically. ",479,"Waa lagu ganaaxi hadan cuboonaysiin sharigaga. Lacagtuna waa in aad tahay danbiile. Aan waxayna horseedi kartaa in lagu qoro dabiille hadii ad haystao sabab  taas   oon in aad sharcigaga  wac sharci, yaqanada in kaa caawiyaan qaabilada. Waxy ku waydiin ganax R1000 TALO dagansha maha mid markaasba la cusboonaysiisyo.",317,515,,,
,,,,Permit Renewal,14,cusboonaysiinta daganashaha,27,Lost Permits,12,lumitaanka deganaanshaha,24,12,Lost permit? Get a statement or affidavit at the police station. Submit the statement with a copy of your permit (if you can) at the RRO. Tip: Lost permits are hard to replace. Make certified copies to give to your family or keep it safe. Remember your permit’s file and case number.,283,hadii sharcigu kaa lumo soo qoro cadayn ka socota booliska gubi qoraalka iyo koobigaag  hada hayso xafiiska qaabilada qaxootiga talo luminta sharcigaag way adag tahay samee koobiyo badan u kala dhiibo qoyskaga iyo sxbdaa wali kiis lanbarkaga,241,319,,,
,,,,Permit Renewal,14,cusboonaysiinta daganashaha,27,Residence,9,degaanka,8,9,Recognised refugees may apply for permanent residence. You must have lived in SA for 5 years in a row as a recognised refugee. Consult the Immigration Act of 2002 for more info on the requirements for a permanent residence application. It is important to get a certificate from the Standing Committee for Refugee Affairs (SCRA) saying you will remain a refugee indefinitely. ,375,marka laguu aqoonsado qaxooti kdi ad jogto 5sano waxad xarayn karta daganaasho rasmi ah qaynuunka sharciyad la dhigay 2002 ayaad wax badan ka helaysa  codsiga daganaansho rasmi waa waxamuhim u ah helida ogolaansha gudiga sharciyada joogtda taas oo odhanysa waad sii ahaan kartaa,278,411,,,
,,,,Permit Renewal,14,cusboonaysiinta daganashaha,27,Application,11,codsiyada,9,11,"After 5 years of continuous refugee status, you can apply for permanent residence. Complete a certification application form from SCRA to confirm that you remain a refugee indefinitely. You can ask a legal counsellor like the LHR for help. This can take up to a year. Then submit the SCRA certificate and the documents required by the Immigration Act, to a regional DHA office (not RRO). Tip: Refugees don’t have to pay to submit a permanent residence application.",464," 5sano waxaad siiwadi kartaa dagansho, si aad u dhamaystirto xaqiiji. In aad gadhay codsato sharci  la kashataa hayada sharciyaqaanada .. kuu  ad hesho  guboi waxad sharciyada, aqoonsigaag waxayna ku  dukumiintiga ad ka haysato hana bixin waxba si aad u hesho dagansho rasmiya.",277,500,,,
,,,,,,,,Back,4,kanoqo,6,4,,,,,,,,
,,,,,,,,,,,,72,,,,,,,,
,,,,Work,4,shaqada,7,Working,7,shaqaynta,9,7,Asylum seekers and refugees are allowed to seek employment with their valid permits and are not required to obtain an extra work visa for this purpose.,151,kuwa haysta magan galyada way shaqayn karan ilaa inta uu ushaqaynyso warqada magangalyada loogamana baahna dalkugal,115,187,,,
