Step 1: Applying for Asylum,27,Etape 1:Faire une demande d' asile ,35,Applying for Asylum,19,"Demande d""asile",15,,,,,,,,,,,,,
,,,,The Process,11,Le processus,12,Eligibility,11,Eligibilité,11,11,"Fill out the eligibility form. Answer honestly. You will be interviewed later so give as much detail of your true story. Bring with you all documents that show who you are and where you come from. Copies will be made so you keep the originals. After fingerprints are taken, a case number and file number will be given. Write down these important numbers.",354,"Complétez le formulaire d' éligibilité. Repondez honnetement. Vous passerez une interview plus tard pouir donner plus de détail sur votre hisoire. Apportez  tous vos documents qui prouvent votre identité et vos origines. On fera les copies et vouremetra vos orinaux. Après la prise des empreintes digitales, les numéros de votre case et dossier vous sera remis, gardez-les jalousement. ",386,390,,,
,,,,The Process,11,Le processus,12,Free to Apply,13,Libres d'appliquer,18,13,"Don’t pay anyone – no officials, no security guards. The process is free. Fight corruption. Tip: If a DHA official asks for a bribe, get his/her name. Note down the official’s physical features, as well as the date and time of the incident. Tip: There is no need to pay fees. Call the DHA’s toll-free hotline on 0800-601-190 to report corruption. You will remain anonymous. ",374,"Ne payez rien a qu que ce soit, ni aux agents de la sécurité, ni aux officiels. Le prcessus est gratuit. Luttez contre la corruption. Conseil: Si un officier du DHA vous demande une corruption, retenez son nom, ses charactéristiques physiques, ainsi que la date et le temps de l' incident. Conseil: Pas de raison de payer les frais. Rapportez la corruption au suivant numéro gratuit de DHA: 0800601190 .Vous serez anonyme. ",423,410,,,
,,,,The Process,11,Le processus,12,Permit,6,Permis,6,6,"You will get a Section 22 permit (Asylum-seeker permit) when you apply. It's proof you've applied. You're not a refugee yet. Your permit lets you work or study in SA. Check the permit conditions or ask. Know if it’s valid for 1 month or 3. Make a copy of the permit. Always carry it with you. Keep renewing it before it expires. A decision can take months or years. Tip: If you don’t renew your Section 22 permit before expiry, you could be arrested/detained/fined.",465,"Vous aurez un permis de la Section 22 (permis du demandeur d'asyle) lorque vous posez la demande; c'est une preuve que vous avvez posé unde demande.Ce permis ne vous donne pas encore le statut de réfugié. Ce document vous permet de travailler. Vérifiez ou demandez les conditions de votre permis; il est souvent valide de 1 ou 3 mois. Veuillez en faire une copie, toujours gardez ce copie avec vous et renouvellez-le avant que ça n' expire. Un décision peut prendre des mois eo des années. Conseil: si vous ne renouvelez pas votrepermis section 22 avant son expiration, vous risquerez une arrêstation/détention/amendes. ",620,501,,,
,,,,The Process,11,Le processus,12,Interview,9,Intreview,9,9,"You'll be interviewed when you apply for asylum. Expect questions about you and your country. You may bring a legal representative or interpreter. Your representative can only observe. You can also bring witnesses, affidavits or other evidence to help. You will get a decision on the day or later. Get your permit stamped before you leave. Married couples must both be interviewed if applying together. Name your wife or children in another country to add them to your file.",474,"Un interview est prévu lors de la demande d' asile. Il y aura des questions sur vous et votre pays. Vous avez droit à un avocat, interprète ou un temoins, une declaration ou tout autre évidence pour assister . Votre representation ne peut qu'observer. vous auez une décision ce jour ou plustard. Veuillez cachetez votre permis avant de quiter. Les marriés seront interviewer tous, s' ils font la demande ensemble.Déclarer votre femme ou enfants vivant dans un autre pays dans votre dossier.",490,510,,,
,,,,The Process,11,Le processus,12,Interpretation,14,Interprétation,14,14,"If you don’t speak a language of SA well enough to explain your claim, you need an interpreter. If DHA doesn't provide one, you must acquire and pay for your own. Get a person you trust to translate word-for-word; not one who’ll make up a story to get you refugee status. Speak slowly and ask to have your statements read back to you. Ask the official to write down any changes made. Sign the form. Your legal help, a testifying witness or a compatriot can't interpret for you.",477,"Si vous ne parlez pas assez une langue sud-africaine, vous avez besoin de votre interprète si DHA ne vous en a pas donné un(e).Prenez l'interprète de confience qui traduira excatement ce que vous dites et non l'autre qui fabriquera votre histoire pour vous obtenir le statut. Parlez lentement et soyez cohérents, demandez qu'on vous relise votre histoire. Demandez à l' officier d' écrire toutes les corrections. Signez votre formulaire.Votre avocat, témoin, compatriote ne peut pas interpréter pour vous.",505,513,,,
,,,,The Process,11,Le processus,12,Free Legal,10,Droits gratuits,15,10,Some university law clinics and human rights organisations offer free legal advice to asylum seekers and refugees. The UNHCR has legal counsellors specialising in refugee law in 5 SA cities. See ‘Useful Services’ for more info. Legal counsellors can advise on your asylum application or help you with an appeal if your asylum application has been rejected. Counsellors can only give you legal advice. They don’t provide accommodation or food. See Social Services for more info.,477,Certaines universités des cliniques juridiques et des organisation de droit de l'home offrent  des services juridiques gratuits aux réfugiés et demendeurs d'asyle. Le HCR a des conseillers juridiques spécilaisés dans la loi des des réfugiés dans 5 cités sud-africaines. les conseillers jusridiques peuvent vous conseiller sur votre demande de l'asyle ou vous assister si votre demande a été rejeée. ils ne peuvent que vous conseiller. Ils ne donnent pas le loyer ou logement ou bien la nourriture. Voir les 'Services sociaux pour plus d'info. ,543,513,,,
,,,,The Process,11,Le processus,12,About Lawyers,13,À propos des avocats,20,13,"Private attorneys can help with your asylum application, appeal or SCRA review. You may need to pay for these services. Or contact LHR – they may be able to help or refer you. The Law Society of South Africa has a list of attorneys with experience in refugee law – See ‘Useful Services’. Tip: Always ask about a lawyer’s fees before you accept their services. Make sure your lawyer has the right qualifications. To check, contact the Law Society of SA on 012-366-8800.",468,"Les avocats privés peuvent vous aider avec votre demande, appel ou et les revisions des décisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Société Juridique Sud-Africaine a une liste des spécialistes en droits des réfugiés - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticité des qualifications de l'avocat.Pour vérifier, veuillez contacterer La Société Juridique Sud-Africaine sur: 0123668800.   ",581,504,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,127,,,,,,,,
,,,,Appl. Results,13,Résultats sur la demande,24,Successful,10,Succès,6,10,"If your application is approved, you’ll get a Section 24 permit (refugee status). Your permit is valid for 2 to 4 years. You must renew it at your RRO before it expires. Refugees can apply for a refugee ID (maroon ‘ID’) and travel documents. It may take time. Only apply for travel documents if you have a refugee ID. If you don’t, and must travel for an emergency, contact UNHCR. Tip: If you travel back to your country, you could lose your refugee status in SA.",463,"Si votre demande est approuvée, on vous donne le permis de la Section 24 (statut des réfugiés) qui est valide dpour 2 à 4 ans. Vous devez le renouveler avant son expiration au bureau de RRO. Les réfugiés peuvent postuler un ID des réfugiés et des documents de voyage. Cele peut prendre du temps, veuillez postuler poru l'ID seuleuement si vous avez l'ID des réfugié si non, vous ne pouvez voyaer que sur l'urgence, veuillez contacter le HCR. Conseil: Si vous voyagez dans votre pays d'origine, vous perdre votre statut de  réfugié en Afrique du Sud.",549,499,,,
,,,,Appl. Results,13,Résultats sur la demande,24,Unsuccessful,12,Sans succès,11,12,"If a RRO rejects your application, you’re not recognised as a refugee. You have 30 days to give a notice of appeal, otherwise you must document your stay in another way or leave SA. The reason for rejection affects your appeal. If your application. was fraudulent or abusive, the Standing Committee of Refugee Affairs will review it. You have 14 days to give them a written statement on why you disagree, at the RRO that issued the rejection letter. Ask a LHR counsellor for help.",480,"Si votre demande est rejeée par un officier de RRO, voust n'etes pas réfugié reconnu.Vous avez souvent 30 jours pour donner l'avis d'appel. Atrement, vous devez documenter votre séjour en RSA ou quitter. Les raisons de votre rejet affectent votre appel. Si votre demande était fraudulente ou abusante, le SCRA devra la revoir. Vou avez 14 jours pour faire une déclaration écrite de votre désaccord avec RRO qui vous a ainsi rejeté.Contactez LHR pour l'assistance.",463,516,,,
,,,,Appl. Results,13,Résultats sur la demande,24,Appealing,9,Appel,5,9,"Private attorneys can help with your asylum application, appeal or SCRA review. You may need to pay for these services. Or contact LHR – they may be able to help or refer you. The Law Society of South Africa has a list of attorneys with experience in refugee law – See ‘Useful Services’. Tip: Always ask about a lawyer’s fees before you accept their services. Make sure your lawyer has the right qualifications. To check, contact the Law Society of SA on 012-366-8800.",468,"Les avocats privés peuvent vous aider avec votre demande, appel ou et les revisions des décisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Société Juridique Sud-Africaine a une liste des spécialistes en droits des réfugiés - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticité des qualifications de l'avocat.Pour vérifier, veuillez contacterer La Société Juridique Sud-Africaine sur: 0123668800.   ",581,504,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,51,,,,,,,,
,,,,Your Rights,11,Vos droits,10,Asylum,6,Asile,5,6,"It is your right: to have ou asylum application processed without corruption, to not be deported to your country where you shall be persecuted because you have illegally entered or presnt SA while your application still in process",230,"C'est votre droit: D'avoir votre demade d' asile sans corruption, ne pas être déporter dans votre pays ou être persécutés pour avoir fait une entrée illégale ou etre présent RSA pendant que vous attendez la décision sur votre demande.
 ",236,266,,,
,,,,Your Rights,11,Vos droits,10,Work,4,Travail,7,4,Every refugee or asylum seeker with a valid permit has the right to work in SA. You can be employed or run your own business. You don't need an extra work visa.,160,Tout demendeur d'asyle ou refugié ayant un permis valide a le droit de travailler en RSA. Vous obtenir un emploi  ou faire vos propres affaires.Vous n' avez pas besoin d' un extra visa,184,196,,,
,,,,Your Rights,11,Vos droits,10,Health,6,Santé,5,6,You have the right to basic health and reproductive health care services in SA. You cannot be refused emergency medical treatment. Hospital workers don’t always know the rights of refugees and asylum seekers with valid permits. You can contact Lawyers for Human Rights if you have a problem accessing public health services.,324,Vous avez le droit aux soins médicaux de base en RSA.On ne peut vous refuser les soins médicaux d'urgence.Les agents de l' hôpitaux sont parfois sous informés sur les droits des refugés et demandeurs d'asyle avec permis valides. Vous pouvez contacter LHR si vous n' avez pas accès aux soins de santé publics.  ,310,360,,,
,,,,Your Rights,11,Vos droits,10,Education,9,Éducation,9,9,Everyone has the right to basic education in SA. You must have a valid study permit to study in SA. Are you in the country on another valid permit? Check first if your permit allows you to study in SA. Some conditions might apply.,230,Toute personne a le droit d' écation de base en RSA.Vous devriez avoir un permis d' étude valide en RSA.Êtes-vous en RSA sous un différent permis valide? Vérifiez si votre permis vous permet d' étudier en RSA.Quleques conditions pourraient etre applicables,256,266,,,
,,,,Your Rights,11,Vos droits,10,Food &Housing,13,Aliment & Logement,18,13,"You have a right to food, water & housing. Organisations offer limited help but you’ll have to support yourself soon afterwards. See ‘Useful Services’ for religious establishments that can help. 

You must look after your social & economic needs. SA Gov, NGOs & UNHCR only help special cases. UNHCR has a limited role in SA (with no camp) & can’t provide for all needs. Along with NGOs, they give limited help in cities with RROs & only for the most vulnerable (moms & kids who’ve been in SA under 2 months, single men with special needs, the ill & disabled). Help can include food & basic housing up to 3 months. Most refugee communities offer little material help, but can offer support. You can access public services like healthcare & education.",749,"Vous droit sur: l' alimentation, eau et .Les organisations offrent une assistance limiée, par la suite, vous devriez prendre soins de vous memes. Voir 'Sevrices utiles' pour les organisation religieuses qui peuvent assister. Le gov. de la RSA, ONGs & HCR interviennent dans des cas speciaux. Le HCR a un role limité en RSA (sans camps des refugiés). L' assistance maigre est apportée aux plus vulnérables personnes (mamans et enfants qui sont en RSA pour moins de 2 mois, homes celibataires avec des beoisns speciaux, les malades & handicapés). L'assistance peut comprendre la nourriture et loyer de base pour 3 mois. La pluspart des communautés des refugiés donnent peu d'assistance materiel mais donne le soutien. Vous avez l' accès aux soins de santé public et éducation.",774,785,,,
,,,,Your Rights,11,Vos droits,10,Eviction,8,Éviction,8,8,The law protects refugees and asylum seekers from unlawful evictions. The landlord must have a court order before he can evict you. Remember: only a court can force you to leave. The landlord cannot threaten you or use force to remove you from the property. Contact the Rental Housing Tribunal on 011-630-5035 or 0800-046-873 if there’s a dispute or if you feel you’ve been unfairly treated.,391,Les lois protègent les immigrants d' un éviction illégale.Le bailleur devra avoir un mandat d' éviction avant d' agir.Seulement le tribunal peut vous expulser.Contacter le Tribunal des Locations des Maisons sur: 0116305035/0800046873 s' il y a une dispute ou vous êtes maltraités.,280,427,,,
,,,,Your Rights,11,Vos droits,10,LGBTI,5, LGBTI,6,5,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender Individuals (LGBTI). LGBT victims must report crimes to the police. LGBT victims of hate speech can lay a complaint with the SAHRC. Ask for legal assistance if you’re struggling to lodge your claim. Go to the contact list for more info. For LGBTI support in Johannesburg: call GALA on 011-717-4239. Or in Pretoria: call Out Wellbeing on 012-430-3272. In Durban: call Gay & Lesbian Network 033-342-6165.",480,"La constitution sud-africain protège les LGBTIs.Les victimes doinvent rapporter leurs abus à la police, ou au SAHRC.Veuiller demander l'assistance juridique si vous avex des problemes pour ouvrir des cas. Voir la Liste de Contact pour plus d' info.Le soutien des LGBTI: GALA à Johannesburg: 011 717 4239, ou Pretoria,  Wellbeing : 0124303272/ Gay & Lesbien Network à Durban: 033 342 6165.  ",390,516,,,
,,,,Your Rights,11,Vos droits,10,Abuse,5,Abus,4,5,"Women and children have the right to live free from abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse of women and children is illegal in SA. Get free legal help from women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.",469,"Les femmes etles enfants ont le droit de vivre sans abus. toute sorte d'abus doit être rapporté à la police.Souvenez-vous qu'une ordonnance de protection vous épargne de plus de violence. Violence peut signifier l'intimidation, abus physique, sexuel ou verbal ou lorque vous perdez votre liberté.L'abus des femmes et des enfants est illégal en RSA. Obtenez une assistance légale gratuite des organisations des femmes et enfamts ou appelez au 0800-150-150.",455,505,,,
,,,,,,,,Back,4,Retournez,9,4,,,,,,,,
,,,,,,,,,,,,96,,,,,,,,
,,,,Arrest,6,Arrestation,11,Arrest,6,Arrestation,11,6,"Valid permit holders are safe from arrest unless they break the law. Police or immigration officials may request your permit to prove your stay is legal, or you may be arrested/detained. If you're arrested, you must prove that you're allowed to be in SA. You will go to a police station until the DHA verifies your identity within 48 hours. Never bribe an officer to avoid being arrested or to get out of jail – it's illegal! Tip: Always carry your permit or certified copy. ",475,"Les detenteurs des permis ne peuvent pas etre arretés sauf au cas de la violation de la loi. La police ou les officiers d' immigration peuvent vous demander votre permis pour verifier statut d'immigration en RSA. En cas d' arrêstation, vous irez à la police  jusqu' à ce que l'officier de DHA verifie votre indentite dans les 48hrs. Ne corrompez pas un officier pour eviter l'arrestation ou detention, c' est contre la loi.Ayez toujours votre permis ou une copie du permis certifiée.",483,511,,,
,,,,Arrest,6,Arrestation,11,What to do,10,Que faire,9,10,"There are legal ways out of your arrest. It may take time. Ask to speak to a lawyer. It is your right. If you are arrested and have a valid visa, ask a friend or family to give copies of your valid documents to the DHA. Remember: You have the right to get legal representation if you are arrested. Tip: If you go to a magistrate’s court, you can ask for ‘legal aid’. You will be able to speak to a lawyer for free. ",415,"Il y a plusieurs moyens de vous libérer. C' est dans votre droit, Si vous êtes arrêtés et possèdes un valide permis, demander à une personne de sûr de donner la copie de votre valide permis au DHA.Vous avez droit à un avocat lors d' une arrêstation. Au tribunale vous pouvez consulter   un avocat gratuitement. ",311,451,,,
,,,,Arrest,6,Arrestation,11,Conditions,10,Conditions,10,10,"The DHA officer should verify your documents within 48 hours. It's your duty to carry your permit on you. You have a free phone call to call your friend for a copy of your permit. You can make a statement to DHA that you disagree with the decision to detain or deport you. You can only be detained for 30 days unless a court extends your detention. When the court makes its decision, you must be informed of this in writing, you can gives reasons why you don't agree.",467,"Vérifier les documents au DHA prend 48 hrs. Ayez toujours votre permis, c'est votre devoir. Vous avez des appels gratuits à faire à votre ami pour la copie de votre permis.Vous pouvez déclarer par écrit au DHA le refus de votre détention/déportation.Votre détention est normalement de 30 jours sauf s'il y a une prolongation de la court. So la court prend une decision, vous en etes informés par écrit, si vous en etes pas d'accord vous pouvez donner des raisons.",463,503,,,
,,,,Arrest,6,Arrestation,11,Deportation,11,Déportation,11,11,"If you are taken to the Deportation Centre, you may contact a lawyer for legal advice. Lawyers for Human Rights visits the centre every week. Ask your family to notify LHR about your situation and that you need help. If you don’t have legitimate reasons to stay in SA with the necessary documents, you’ll be kept at the centre and deported back home. Contact Lawyers for Human Rights if your conditions of detention are unsafe or violate your dignity.",451," Si on prend au Centre de Déportation, vous pouvez contactez un avocat. LHR visite le centre chaque semaine. Demandez à votre famille de leur informer que vous désirez un avocat. Si vous êtes illégals en RSA, vous serez détenus, puis  déportés dans votre pays.Contactez LHR si vos conditions de détention ne sont pas bonnes ou sont en violation de votre dignité. ",363,487,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,61,,,,,,,,
,,,,Children,8,Les enfants,11,Accompanied,11,Accompagnés,11,11,"If a child enters SA in the care of a relative who's not a parent, the caregiver must go to the Children’s Court and apply to be legal guardian. Refugee status is given to children/dependants when the head of the family/household’s application is approved. A child’s case may be stronger than the parents' – if so, submit an independent application for asylum. A legal representative, parent or legal guardian must always accompany a child asylum seeker at his/her interviews.",476,"Si un enfant entre la RSA avec un membre de la famille qui n'est pas son parent, son pourvoyeus de soins doit aller au Tribunal des enfants pour légaliser cette charge. Le statut de réfugié est donné aux dépendants lorsque le responsble obtient le statu de réfugié. Le cas de l'enfant peut etre plus fort que celui des parents - dans ce cas, faites une demande d' asile indépendanted. Le responsable / or parent de l' enfant doit toujours l'accompagner lors de son interview.",475,512,,,
,,,,Children,8,Les enfants,11,Unaccompanied,13,Non - accompagnés,17,13,A child asylum seeker is unaccompanied when there isn’t a person present whose main responsibility is to take care of the child. Children who were separated from their parents before or during the flight from their country are also ‘unaccompanied’ children. ,258,Un enfant demandeur d' asile est non accompagné lorsque la personne qui lui prend en charge ne se présente pas.Les enfants séparés avec leurs parents avant ou pendant qu' ils quittaient leurs pays sont aussi considérés comme non- accompagnés.,242,294,,,
,,,,Children,8,Les enfants,11,Documentation,13,Documentation,13,13,"Children seeking asylum without a parent/guardian must be referred to the Dept. of Social Development, where a social worker will be assigned to the case. The social worker must work with the DHA to help the child with the asylum application at a RRO. The social worker must also investigate the child's case & give a report. If the child doesn’t have an asylum claim, a legal counsellor must be contacted. Important: children must be documented or they risk becoming stateless.",478,"Les enfants demandeurs d' asile qui sont non - accompagnés doivent être présentés au  DSD, un travailleur social s' occupera de lui. L'assistant social travaille avec DHA pour aider l'enfant avec la postulation de l'asyle au RRO, le travaililleur social fait l'investigation du cas de l'enfant et fait un rapport.Contactez un avocat si l' enfant n' a pas debonne raisons de demande d' asile. Les enfants doivent etre documentés, afin d'eviter qu'ils devennent apatrides. ",471,514,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,57,,,,,,,,
,,,,Helplines,9,Téléphones d'urgence,20,Contact Numbers,15,Numéros de contact,18,15,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Corruption: 0800-701-701; CCMA: 0861-16-16-16; Abuse: 0800-150-150 or 012-348-1234 or 011-838-0411; Childline: 0800-055-555; AIDS: 0800-012-322 or 0800110605; LoveLife: 0800-121-900.,288,DHA: 0800601190; HCR: 0123385302; Be Court Wise: 0832299440; Counselling sur la Ligne de la Vie: 0861322322; Corruption: 0800701701; CCMA: 0861161616; Abus: 0800150150/0123481234/0118380411; Enfants: 0800055555; Sida: 0800012322/0800110605; L' AmourVie/ LoveLife: 0800121900.,275,324,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,27,,,,,,,,
,,,,2: Life in SA,13,2: la vie en RSA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,399,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Step 2: Life in SA,18,Etape 2:La vie en RSA,21,Life in SA,10,La vie en RSA,13,,,,,,,,,,,,,
,,,,Permit Renewal,14,Renovellement de permis,23,Renewal,7,Renouvellement,14,7,Renew your Section 22 asylum permit at your RRO office before it expires. Some RRO offices have a separate queue for renewals. Section 24 permits are valid for  2 to 4 years. Apply a week before your permit expires at a RRO. The Standing Committee of Refugee Affairs (SCRA) may review your refugee status in SA based on the situation in your home country. Tip: Take all original documents with you when renewing your permit.,424,"Renouvelez voutre permis S22 au RRO, avant son expiration. Quelques RRO ont des ligne distinctes pour les renouvelments .Le permis S24 est valide pour 2-4 ans. Postuler une semaine avant l'expiration de votre permis. SCRA peut revoir votre statut de réfugié en RSA selon la situation dans votre pays.Conseil: Veuillez apporter les originaux lors du renouvellement de votre permis. ",381,460,,,
,,,,Permit Renewal,14,Renovellement de permis,23,Fines,5,Amendes,7,5,"You'll be fined if you do not renew your permit before it expires. Payment of a fine means you are guilty of not renewing your permit on time and leads to a criminal record. If you have a good reason why you couldn't renew your permit, ask a lawyer for help. A RRO officer will give you the fine and tell you where to pay it. It's not more than R1000. If it is, see a lawyer. Renew your permit at the RRO where you applied for asylum. Tip: Permits are not renewed automatically. ",479,"Une amende vous sera chargée si vous ne renouvelez pas votre permis avant son expiration. Le payment de l'emende signifie que vous etes coupables du non - renouvellement pontuel et conduit a un cas  criminel sur vous. Contactez un avocat si vous avez une raison valable pour ne pas renouveller votre permis. Un officier de la RRO vous donne l' amende, pas plus de R1000 et vous indique où la payer. Renouvellez au RRO où vous avez faits votre demande. Conseil: Les permis ne sont pas renouvelés automatiquement.",511,515,,,
,,,,Permit Renewal,14,Renovellement de permis,23,Lost Permits,12,Perte de permis,15,12,Lost permit? Get a statement or affidavit at the police station. Submit the statement with a copy of your permit (if you can) at the RRO. Tip: Lost permits are hard to replace. Make certified copies to give to your family or keep it safe. Remember your permit’s file and case number.,283,"Permis perdu? Faites une declaration / un affidavit à la police. Présentez l' affidavit avec la copie de votre permis, si possible a RRO. Conseil: Remplacer les permis perdus c'est difficil. Faites des copies certifiées de vos permis et remettez- les à votre famille ou gardez- les bien.Retenez votre numero de permis et votre numero du dossier du dossier.",356,319,,,
,,,,Permit Renewal,14,Renovellement de permis,23,Residence,9,Résidence,9,9,Recognised refugees may apply for permanent residence. You must have lived in SA for 5 years in a row as a recognised refugee. Consult the Immigration Act of 2002 for more info on the requirements for a permanent residence application. It is important to get a certificate from the Standing Committee for Refugee Affairs (SCRA) saying you will remain a refugee indefinitely. ,375,Les réfugiés reconnues peuvent faire la demande pour la residence permanente.vous devez avoir le statut de refugié pour au moins 5 ans. Consultez l' Acte de 2002 d' immigration pour en savoir plus des conditions pour la demande de la résidence permanente. C' est important d' avoir un certificat de la SCRA qui dit que vous serez à jamais un réfugié. ,351,411,,,
,,,,Permit Renewal,14,Renovellement de permis,23,Application,11,Demande,7,11,"After 5 years of continuous refugee status, you can apply for permanent residence. Complete a certification application form from SCRA to confirm that you remain a refugee indefinitely. You can ask a legal counsellor like the LHR for help. This can take up to a year. Then submit the SCRA certificate and the documents required by the Immigration Act, to a regional DHA office (not RRO). Tip: Refugees don’t have to pay to submit a permanent residence application.",464,"Le titulaire d' un permis S24 de plus de 5 ans, peut avoir la residence permanente. Completez le formulaire de SCRA pour confirmer que vous êtes à jamais un réfugié. Vous pouvez contacter un avocat, ou LHR pour l'assistance. Ceci peut prendre environ un an. Présentez le certificat de SCRA et les autres documents nécessaires au DHA (pas RRO). Conseil: Les refugiés ne doivent pas payer pour ce service. ",404,500,,,
,,,,,,,,Back,4,Retourner,9,4,,,,,,,,
,,,,,,,,,,,,72,,,,,,,,
,,,,Work,4,Travail,7,Working,7,Travail,7,7,Asylum seekers and refugees are allowed to seek employment with their valid permits and are not required to obtain an extra work visa for this purpose.,151,Les demandeurs d'asyle et les réfugié sont permis de travailler avec leurs permis valides et n' ont pas besoin d' un autre visa quelconque pour travailler. ,156,187,,,
