locale,topic,question,answer
fr,Le processus,Intreview,"Un interview est prevu lors de la demande d' asile. Il y aura des questions sur vous et votre pays. Vous avez droit a un avocat, interprete ou un temoins, une declaration ou tout autre evidence pour assister . Votre representation ne peut qu'observer. vous auez une decision ce jour ou plustard. Veuillez cachetez votre permis avant de quiter. Les marries seront interviewer tous, s' ils font la demande ensemble.Declarer votre femme ou enfants vivant dans un autre pays dans votre dossier."
fr,Le processus,Interpretation,"Si vous ne parlez pas assez une langue sud-africaine, vous avez besoin de votre interprete si DHA ne vous en a pas donne un(e).Prenez l'interprete de confience qui traduira excatement ce que vous dites et non l'autre qui fabriquera votre histoire pour vous obtenir le statut. Parlez lentement et soyez coherents, demandez qu'on vous relise votre histoire. Demandez a l' officier d' ecrire toutes les corrections. Signez votre formulaire.Votre avocat, temoin, compatriote ne peut pas interpreter pour vous."
fr,Le processus,Droits gratuits,Certaines universites des cliniques juridiques et des organisation de droit de l'home offrent  des services juridiques gratuits aux refugies et demendeurs d'asyle. Le HCR a des conseillers juridiques specilaises dans la loi des des refugies dans 5 cites sud-africaines. les conseillers jusridiques peuvent vous conseiller sur votre demande de l'asyle ou vous assister si votre demande a ete rejeee. ils ne peuvent que vous conseiller. Ils ne donnent pas le loyer ou logement ou bien la nourriture. Voir les 'Services sociaux pour plus d'info. 
fr,Le processus,A propos des avocats,"Les avocats prives peuvent vous aider avec votre demande, appel ou et les revisions des decisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Societe Juridique Sud-Africaine a une liste des specialistes en droits des refugies - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticite des qualifications de l'avocat.Pour verifier, veuillez contacterer La Societe Juridique Sud-Africaine sur: 0123668800.   "
so,dhaqaajinta adeega,xaq u yeelashada,buxi foomka xaq u lahaanshaha si fiican uga jawaab su alaha lagu waydiinayo tusna dhamaan waraqaha ad wadato kana run sheeg taarikhdad xaqiijina koobiyada kaydina kuwa asalka ah marka lagaa qado faraha waxay ku siinayaan fayl lanbar iyo kiis lanbar e xifdi wa kuu muhiime lanbaraase
so,dhaqaajinta adeega,codsi si xor ah,hana bixin wax lacag ah sida waardiga ama shaqalaha ba waxan waa bilaash adana xaq u leh LOMANA OGALA MUSUQ TALO hadii ay kuwaydiiyaan waxda sharciyada wax laalush ah hubi meesha wakhtiga  talo wac0800601190 si aad u war galiso musuqa waana kuu qarsoodi
so,dhaqaajinta adeega,deganasho,Waxaad helaysaa qaybta 22 aadmarkaad codsato. Waxayna cadaynayaan in aad codsatay ma tihid qaxooti ilaa laguu bilaabo dagananshaha ama shaqada SA. Hubso inaytahe 1 ama 3 bilood. Waado markasto. Markey dacdho cusboneysii. Goanka waxuu bilo ama sanad. Hadaa cusbonesin wa xabsi.
so,dhaqaajinta adeega ,wax waydiin,sharciyo yaqaanada gaarka ah waxay kaa caawinayaan rafcanka.waxa sutagaal inad bixiso qarash.ama laxariir LHR wey kucawinayan. urarka garyaqanada SA. kutakhasusay sharciga qaxotiga. kafirso markasta ad qabsenso qarashka. garyaqnka waino leyahy shadaho.kala xariir halkan 0123668800
so,dhaqaajinta adeega,fasiraada,hadii adan fahmayn luuqada lagag hadlo SA.Waxad u bahantahe turjuman. DHA hada weyso turjuman wainad la imato kada.wa ino noqdo qoof ku kalsontahay. ma ahan iska shega war aad kuhesho sharci.u hadaal si tartiib aah. weydiyi qofka sharicga kusinaya wax kasta.saxiix hadi ad ku qanacsanen
so,dhaqaajinta adeega,si xor ah sharcigana wafaqsan,jaamacadaha sharciyada.kiliinigyada.hayada xuquuda .ururada waxay dalbaan waano bilaash ah sharcigan khusaysa magan galyo doonka iyo qaxootiga  hayada qaxootiga aduunka waxay fidisaa adeeg sharciya akhbar badan laxidhidh waxda  qabilada mana bixiyaan cunto ama daryeel bulsho akhbaar badan ka helo waxda adega bulshada
so,dhaqaajinta adeega,arimaha khuseeya sharciyada,sharciyo yaqaanada gaarka ah waxay kaa caawinayaan rafcanka.waxa sutagaal inad bixiso qarash.ama laxariir LHR wey kucawinayan. urarka garyaqanada SA. kutakhasusay sharciga qaxotiga. kafirso markasta ad qabsenso qarashka. garyaqnka waino leyahy shadaho.kala xariir halkan 0123668800
sw,Mchakato,Uhakika,"Jaza fomu  ya uhakiki. Jibu kwa uaminifu. Utakuwa na mahojiano baadaye ni lazima ili utoe maelezo kutosha ya hadithi yako ya kweli . Leta  nyaraka zote ambazo zinaonyesha wewe ni nani na unatoka wapi . Nakala zitafanywa ili ziweke kwa asili. Baada ya alama za vidole kuchukuliwa ,  utapewa kesi namba na faili idadi . Andika namba hizi muhimu ."
sw,Mchakato,Kuomba bure,"Usimlipe mtu  - hata Maafisa wala walinzi. Mchakato ni bure. Kupambana na Rushwa . Shauri : Kama afisa wa DHA  anakuomba  Rushwa , tafuta  jina lake, andika sifa za kimazingira, pamoja na tarehe na wakati wa tukio hilo. Mwanga: Hakuna haja ya kulipa ada . Piga simu bure ya DHA juu ya kuripoti rushwa kwenye namba  0800-601-190 . Wewe hutajitambua na majina yako."
sw,Mchakato,Kibali,"Utapata kifungo cha 22 (Kibali cha Wakimbizi) Ukiomba.Ni ushahidi.Wewe si mkimbizi.Kibali chako kinakuruhusu kusoma na kufanya kazi SA.Angalia hali ya kibali na ulize kama iko halali miezi 1 au 3.Fanya nakala ya kibali.Weka upya. Tip: Usipo fanya upya kibali cha kifungu 22 ,Unaweza fungwa/zuizini/faini."
sw,Mchakato,Mahojiano,"Utakua na mahojiano ukiomba hifadhi. Maswali  yanaokuhusu na nchi yako. Unaweza leta mwanasheria au mkalimani. Huyo atachunguza tu.Unaweza pia kumleta mshahidi, maandiko chini ya kiapo au ushahidi nyingine. Utapata uamuzi hiyo siku. Pata mhuri kwenye kibali kabla kuondoka. Wenandoa watahojiwa pamoja. Taja  ya majina ya mwanamke na watoto pale popote wako wawekwe  kwenye faili  moja."
sw,Mchakato,Tafsiri/ukalimani,"Kama huwezi kuongea lugha ya SA vizuli ili  ukaeleza madai yako,unamhitaji mkalimani. DHA haitoi  hata mmoja, lazima ujilipie. Pata mtu mwanifu  neno-kwa-neno; siyo mwenye atasema maneno ili utape hadhi ya ukimbizi.ongea polepole na omba wakusomee hadithi yako. Uliza afisa kama kuna mabadiliko. Saini fomu. Mwanasheria ,mshahidi wako au mwenzako hawezi kukutafsiria."
sw,Mchakato,Kisheria bure,Kliniki za sheria fulani  katika Vyuo vikuu na mashirika ya haki za bianadamu hushauri kwa  bure wanaotafuta hifadhi na wakimbizi. UNHCR ina mashauri maalumu wa kisheria katika sheria za ukimbizi katika  miji 5 ya SA. Ona 'huduma maalum' nyinginezo . Mshauri ya kisheria wanaweza kukusaidi kwa ombi ya hifadhi au usaidizi wa kupiga rufaa kama hadhi yako imekataliwa. Mshauri husaidia na ushauri. Hawapeani makao au chakula.
sw,Mchakato,Kuhusu Mwanasheria,"Wakili binafsi wanaweza kusaidia na ombi, rufaa au SCRA mapito. Lazima ulipe huduma. Or pigia LHR-wanaeza kukusaidia. Law society ya South Africa wako na wakili wana utaalamu wa sheria za wakimbizi. Ona 'huduma muhimu'. Tip: ulizia wakili hulipwa ngapi. Hikisha wakili  na kufuzu. Pigia Law Society ya Sa kwa 012-366-8800."
fr,Quand/Ou faire la demande,Durban,"Votre  Bureau d'acceuil des refugies (RRO) a Durban est situe sur l' avenue Moore,  No 132, Durban.Numero de Tel: 031-362-1205 / Fax: 031-362-1220."
fr,Quand/Ou faire la demande,Musina,Votre bureau d'acceuil des refugies (RRO) a Musina est situe sur l' avenue Harold No 8  (a cote du bureau postal). Tel:015-534-5300; Fax: 015-534-5332.
fr,Quand/Ou faire la demande,Pretoria,"Votre bureau d'acceuil des refugies (RRO) a Pretoria - Ouest est a Marabastad, croisement entre les avenues E'skia Mphahlele & Struben.Tel: 012-327-3515; fax: 012-327-5782.  "
fr,Quand/Ou faire la demande, Pretoria Ouest,"Votre Bureau d' acceuil des refugies (TIRRO) a Pretoria - Ouest  est sur l' avenue Soulter No 203, Showground Pretoria. Tel: 012-306-0800/012-306-0806; Fax: 086-579-7823."
fr,Quand/Ou faire la demande,Ville de Cape / Cape Town,"RRO du Cape: Rue Voortrekker No 142, Maitland.Tel: 021-514-8414 Fax: 021-514-8403.Pas de nouvelles demandes, seulement le renouvellement des permis existants des refugies."
so,goorma iyo xagee ayaad ka codsatay,Durban,xafiika kuugu dhaw qabilada q xootiga darban 132moore wada darban wac 0313621205 ama fakiska0313621220
so,goorma iyo xagee ayaad ka codsatay,muusinaa,xafiika kuugu dhaw qabilada q xootiga musina 8 hooladh wadada gurga ku xiga boosta 0155345300 fakiskuna 0155345332
so,goorma iyo xagee ayaad ka codsatay,biritooriya,xafiiska kuugu dhaw qabilaada qaxootiga  biritoorya westi waa maraba istaadh geeska ttelfonka0123273515 fakiska123275782
so,goorma iyo xagee ayaad ka codsatay,biritoorya westi,xafiiska kuugu dhaw qabilaada qaxootiga  biritoorya westi waa sowter wadada maa shaw garoonka telka 0123060800 ama 3060806 fakiska0865797823
so,goorma iyo xagee ayaad ka codsatay,keebtawn,xafiiska kuugu dhaw qabilaada qaxootiga kebtown 142 foootarka wadada milandhi telka0215148414 fakiska215148403 majirto codsi kibtown lkn waa cusboonaysiin kaliya
sw,wakati/wapi kuomba,Durban,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Durban iko 132 Moore Street,Durban. Wapigie 031-362-1205."
sw,wakati/wapi kuomba,Musina,Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Musina  iko 132 Moore Street (karibu na Posta). Tel: 015-534-5300; Fax:015-534-5332.
sw,wakati/wapi kuomba,Pretoria,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Pretoria iko Pretoria West Marabastad, corner ya E'skia Mphahlele&struben St. Tel: 012-306-0806; Fax: 086-579-7823."
sw,wakati/wapi kuomba,Pretoria West,"Ofisi ya Kupokea wakimbizi (TIRRO) karibu yako katika Pretoria west  iko kwenye Mtaa wa  Soutter 203 ,Pretoria Showgrounds. Tel :012-306-0800 au 012-306-0806; Fax: 086-579-7823."
sw,wakati/wapi kuomba,Cape town,"RRO Cape Town: 142 Voortrekker Road, Maitland. Tel: 021-514-8414 Fax: 021-514-8403. Hamna maombi mapya ya hifadhi, ila wanaogongesha  wana hifadhi za zamani tu."
fr,Vos droits,Travail,Tout demendeur d'asyle ou refugie ayant un permis valide a le droit de travailler en RSA. Vous obtenir un emploi  ou faire vos propres affaires.Vous n' avez pas besoin d' un extra visa
fr,Vos droits,Sante,Vous avez le droit aux soins medicaux de base en RSA.On ne peut vous refuser les soins medicaux d'urgence.Les agents de l' hopitaux sont parfois sous informes sur les droits des refuges et demandeurs d'asyle avec permis valides. Vous pouvez contacter LHR si vous n' avez pas acces aux soins de sante publics.  
fr,Vos droits,Education,Toute personne a le droit d' ecation de base en RSA.Vous devriez avoir un permis d' etude valide en RSA.Etes-vous en RSA sous un different permis valide? Verifiez si votre permis vous permet d' etudier en RSA.Quleques conditions pourraient etre applicables
fr,Vos droits,Aliment & Logement,"Vous droit sur: l' alimentation, eau et .Les organisations offrent une assistance limiee, par la suite, vous devriez prendre soins de vous memes. Voir 'Sevrices utiles' pour les organisation religieuses qui peuvent assister. Le gov. de la RSA, ONGs & HCR interviennent dans des cas speciaux. Le HCR a un role limite en RSA (sans camps des refugies). L' assistance maigre est apportee aux plus vulnerables personnes (mamans et enfants qui sont en RSA pour moins de 2 mois, homes celibataires avec des beoisns speciaux, les malades & handicapes). L'assistance peut comprendre la nourriture et loyer de base pour 3 mois. La pluspart des communautes des refugies donnent peu d'assistance materiel mais donne le soutien. Vous avez l' acces aux soins de sante public et education."
fr,Vos droits,Eviction,Les lois protegent les immigrants d' un eviction illegale.Le bailleur devra avoir un mandat d' eviction avant d' agir.Seulement le tribunal peut vous expulser.Contacter le Tribunal des Locations des Maisons sur: 0116305035/0800046873 s' il y a une dispute ou vous etes maltraites.
fr,Vos droits, LGBTI,"La constitution sud-africain protege les LGBTIs.Les victimes doinvent rapporter leurs abus a la police, ou au SAHRC.Veuiller demander l'assistance juridique si vous avex des problemes pour ouvrir des cas. Voir la Liste de Contact pour plus d' info.Le soutien des LGBTI: GALA a Johannesburg: 011 717 4239, ou Pretoria,  Wellbeing : 0124303272/ Gay & Lesbien Network a Durban: 033 342 6165.  "
fr,Vos droits,Abus,"Les femmes etles enfants ont le droit de vivre sans abus. toute sorte d'abus doit etre rapporte a la police.Souvenez-vous qu'une ordonnance de protection vous epargne de plus de violence. Violence peut signifier l'intimidation, abus physique, sexuel ou verbal ou lorque vous perdez votre liberte.L'abus des femmes et des enfants est illegal en RSA. Obtenez une assistance legale gratuite des organisations des femmes et enfamts ou appelez au 0800-150-150."
so,xuquuqdada,shaqada,qofka kasta oo qaxootiya waxuu xaq u leeyahay sii joogitaanka k africa ilaa inta sharcigiisu ka shaynayo umana baahnid dal kugal dheerad ah
so,xuquuqdada,cafimaadka,"waxaad xaq uleedahay inaad hesho adeeg caafimaad waxaana reeban in laguu diido adeega caafimaad ee degdega ah, xusuusnaw dhamaan shaqaalaha goobaha caafimaadka iyo dhakhaatiirtu mayaqaanaan xuquuqda qaxootiga iyo magangalyo doonka haysta sharciyada saxda ah , markaa lasoo xidhiidh qareenada xuquul insaanka."
so,xuquuqdada,waxbarashada,qofkataa waxuu xaq u leeyahay helida wax barsho k.afrika hayso nadamka sharci shaqaynaya hubi in uu kuu ogolaanayo in aad sii wadato hadi yna wax kaa khaldaayn waad sii wadan kartaa
so,xuquuqdada,cuntda iyo guriga,waxaad xaq u leedahay helida cunto biyo hayada guryaynta iyo dalab xadidan si laguu cawiyo lkn waan in aad aftada cawiso kadib wad arki adeega sida deemaha oo kle iwm waain aadfiiriso bulshada dhaqaalaha ay u bahan yihiin dawlaada k afrika iyo hayada ha aan dawliga ahayn maa h.q.aduunka  waxay caawiyaan kiisas gara ah waxaana xadada ya sharciga k.afrika sabtu  ma jirto xero lamana cawin karo dhaman bahida jirta gud ahanba hayada ha aan dawliga ahayn waxayna bixiyaan adeeg xadadan x.qabilda q. waxayna cawiyaan hoyada ilmaha dhalan in ayar2 bilood nin kaligii ah kas oo xanuunsanaya ama laxaad la aana waxana laga caawiya sida cuntada iyo qalab  wan suurta gal in aan si guud ucawino adega bulshada
so,xuquuqdada,guri ka saarida,Sharciga difaacaya qaxootiga  ama magan galyo doonka. Mamulka guriga waa in u ladadha sharci.O gow maxkamada maku qasboso. Mamulka maku qasbi karo inad guri geda katagtit. Waac tribuna kiradha guriga 011-630-5035 ama 0800-046-873 hadii ad umaleynaeyso xaaf daro ina laguguheysto.
so,xuquuqdada,arimha guurka iyo galmada,SA waxy difaacday dhamaan sida galmada jinsiga. Isku midka ah sharciyan  ama waxa loo soo gabiyo(lgbti).Hadaba hadad tahay dhibane wac waaxda wargalinta danbiyada sida nacayka hadal wax joohaanisbeg gala 0117174239 ama biritoorya wac wibegi0124303272 ama darban wac kkanisinta ama isku xidhka0333426165
so,xuquuqdada,xadgudubka,"Haweenku iyo ciyaalka waxy xaq uleeyihiin in ay ku nooladan xor. Hadey jirto xaad gudub daan bolisa usheg. Xadgudub wa handaada jirka,galamada, xagudub waxey dici kartaa marka aad hor weyso. Xadgudub wa sharci daraada ah SA. Cawis oo dumarka iyo carurta wa uruka waac 0800-150-150- tagero iyo talabixin."
sw,Haki zako,Kazi,Kila mkimbizi au mwombaji wa ukimbizi mwenye kibali halali ana haki ya kufanya kazi SA. Unaweza kusajiliwa au kufanay biashara yake mwenyewe. Hauitaji kibali cha kufanay kazi.
sw,Haki zako,Afya,Una haki ya matibabu ya afya na uzazi SA. Huwezi kakataliwa matibabu ya dharura . Wafanyi kazi wa hospitali hawajui muda wowote haki za wakimbizi au wombaji wa ukimbizi wenye vibali halali. Pigia Wanasheria wa Haki za Binadamu kama unashidwa kupata huduma ya afya.
sw,Haki zako,Masomo,Kila mtu ana haki ya elimu ya msingi SA. Lazima uwe na kibali halali kusomea SA. Uko nchini kwenye kibali  kingine  halali? Angalia kama kibali chako kinakuruhusu kusomea SA. Masharti mengine anaweza  kuhusika nawe.
sw,Haki zako,Chakula& makazi/nyumba,"Una haki ya kuwa na maji , chakula& mahali pakulala. Mashilika  hutoa misaada midogo lakini ni   lazima ujisaidie baadaye . Angalia 'Hudumu muhimu' za taasisi za makanisa anaotoa misaada. Lazima ujisaide wewe mwenyewe kwenye mahitaji yako ya kijamii na kiuchumi . Serikali ya SA ,NGOs & UNHCR husaidia kesi maalum tu  .UNHCR ina jukumu ndogo (bila kambi) & haiwezi kusaidia mahitaji yote.  Pamoja na  NGOs wanatoa  misaada midogo kwenye miji  ina  RRO, kwenye wanaoishi katika mazingira magumu tu (mama&watoto  hawajakaa zaidi ya miezi 2, wanaume wenye mahitaji maalum, wagonjwa & walemavu).Misaada ingeweza kuwa chaukula au kodi ya miezi 3. Jamii za wakimbizi husaidia kidogo lakini ni msaada wa msingi,k.Unaweza kupata huduma za umma  kama masomo na afya."
sw,Haki zako,Kufukuzwa,Sheria hulinda kinyume cha sheria. Mwenye nyumba lazima pate ili kabla kukufukuza. Kumbuka.ni mahakama too huweza nguvu. Mwenye nyumba hana haki ya kukufuza au kukutoa kwa mali. Pigia Rental Housing Tribunal 011-630-5035 au 0800-046-873 kama una zozo au kutendwa.
sw,Haki zako,LGBTI,"Katibu ya SA hulinda Lesbian Gay, Bisexual &Transgender  (LGBT).  Mwathirika wa chuki za LGBT huenda polisi kuripoti. Pia anaweza kufungua shutaka la chuki katika  SAHRC. Omba msaada wa kisheria kama unashindwa kufungua madai. Nenda kwa orodha ya mawasiliano kupata habari zaidi. Kwa msaada ya LGBTI  katika  Johannesburg: pigia  GALA 011-717-4239 au Pretoria : Pigia Wellbeing 012-430-3272. Durban: pigia Gay & Lesbian Network 033-342-6165."
