English Content,Character Count,Traduction en Français,Character Count,English Content,Character Count,Traduction en Français,Character Count,English Content,Character Count,Traduction en Français,Character Count,Answers,Character Count,Traduction en Français,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,Work,4,Travail,7,Own Business ,13,Vos affaires,12,There are different types of business permits you can get. You will be required to invest a prescribed financial capital contribution. Please go to http://www.vfsglobal.com/dha/southafrica/ for more info.,204,Il y a plusieurs types de permis d'affaire.Vous serez demandés d' investir un capital requis. Veuillez visiter: http://www.vfs.com/dha/southafrica/ pour plus d' info.,166,204,240,,
,,,,Arrest,6,Detention,9,What to do if arrested,22,Que faire lorsqu' on vous arrête?,33,"There are legal ways out of your arrest. It may take time. Ask to speak to a lawyer. It is your right.  If you are arrested and have a valid visa, ask a friend or family to give copies of your valid documents to the DHA. Remember: You have the right to get legal representation if you are arrested. Tip: If you go to a magistrate’s court, you can ask for ‘legal aid’. You will be able to speak to a lawyer for free.",415,"Il ya des procédures légales  pour vous libérer en cas d'arestation. Demandez de parler avec votre avocat ou demander à un ami d' apporter la copie de votre  valide permis, si vous en avez, au DHA.Un représentant juridique vous est permis en cas d'arrestation.Conseil: Au tribunal vous pouvez demander un avocat, à qui vous parlerez gratuitement.",346,415,451,,
,,,,Apply for visa,14,Faire une demande de visa,25,When to apply,13,Quand faire la demande,22,"Immediately, as you could be prosecuted without a visa. Applications should be made at least 60 calendar days prior to expiry date of your passport and visa/permit.

",166,Immédiatement que vous pourriez être prosécutés sans visa. Faites les applications au moins 60 jours calendaires avant la date d' expiration de votre passport et visa/permis.,174,166,202,3 SMS (321 - 480 characters),3 Screens (361-540 characters)
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Abuse help,10,Assistance en cas d'abus,24,Abuse is illegal in SA. Get free legal help from selected women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.,165,L' abus est illégale en RSA.Prenez une assistance juridique gratuite des organisations selectionéese pour les femmes et enfants ou  apppelez au 0800150150 pour une assistance ou l'accompagnement.,195,165,201,,
,,,,Permanent Residence,19,Résidence permanente,20,Interview,9,Interview,9,Application requires an interview with Home Affairs officer at VFS centre when submitting your application form. Married couples/partners must both sign form and attend interview together.  ,190,L' application nécessite un interview  au centre VFS quand vous déposez votre formulaire. Mariés/Parternaires doivent tous signer sur le formulaire et ensemble participer a l'interview.,185,190,226,,
,,,,Education,9,Education,9,Application,11,Application,11,"Your child must have at least a birth certificate, clinic card or old report card to register.  There'll be conditions for your child to attend school during your stay in SA. Register for a primary school closest to your house. English not good? Take a friend with who can help. Schools get full quickly so apply early (from July). If the school closest to your house is full, the school must show you another school that can help. If you struggle to register, the school close to your house must refer you to the Dept. of Education (DOE). If the school refuses admission, ask for a letter on their letterhead signed by the principal and take it to the DOE. Still can’t find a school? Contact a social service provider for education or LHR. More info on the contact list.",771,"Votre enfant devra avoir un document légal qui l' identifie, comme certificat de naissance, carte de clinic etc. Il y a des conditions pour votre enfant de frequenter l' école quand vous etes en RSA. Faites enregistrer votre enfant a l'école primaire proche de votre résidence. Si vous avez le problem d'anglais,, prenez un ami pour vous assister. L'inscrition se fait en juillet et les places sont souvent limitées. Si l' inscription est clôturée ou on le refuse,contactez une autre école, le DOE, un service social pour l'réducation, ou LHR. Plus d' info sur la List de Contact.",580,771,807,,
,,,,Read T&Cs,9,Lisez les T&Cs,14,Costs,5,Coûts,5,"The registration for this service is free, as is the actual mobile application. You will only be charged according to USSD data fees per their usage. ",150,"L' enregistrement de ce service est gratuite, comme l' actuelle demande sur le cellphone. Vous serez seuleument chargés selon les  frais des données d' USSD par leurs consommation.",180,150,186,,
,,,,Read T&Cs,9,Lisez les T&Cs,14,Guide,5,Guide,5,This mobile info system is only a guide. It isn’t the same as complete legal advice. Users should contact a law clinic for complex issues. LHR will not be liable for any loss from actions taken as a result of this service. ,223,"L' info sur le mobilephone n'est qu' un guide.Ce n' est pas aussi complet qu' une consultation juridique. ""utilisateur devrait voir le bureau des avocats pour les cas complexes. LHR n' est pas responsable de toute perte par suite de ce service",243,223,259,,
,,,,Safety/Children,15,Sécurité/Enfant,15,Place of safety,15,Un lieu sécurisé,16,"The social worker will verify the child’s placement in a temporary place of safety. A report must be compiled. If the child is a migrant, the social worker must try to find and reunite the family in the country of origin. If the family can’t be located and the child can’t be returned home, you must contact a legal counsellor. This is important: children must get documented as soon as possible, otherwise they risk becoming stateless.",436,"L' assistant social vérifiera le placement de l' enfant dans un endroit temporaire securisé et fera un rapport. Si  l'enfant est imigrant, le travail social va essayer de retrouver ses origines, ses parents en vue de la réunification familiale dans le pays d'origine. En cas d'échec, il faut contacter les conceillers juridiques. Ceci est important: Les enfants doivent etre urgement documentés avant qu'ils ne deviennent apatrides.",432,436,472,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,LGBTI rights,,Les droits des personnes LGBTI,30,"SA’s constitution protects the rights of Lesbian, Gay, Bisexual & Transgender individuals (LGBTI). LGBT victims of unjust treatment must go to the police. LGBT victims of hate speech may lay a complaint with the SAHRC or approach the Equality Court for relief. ",261,"La constitution de la RSA protège les droits des LGBTI.Un LGBT abusé devra se plaindre à la police, au SAHRC ou voir le Tribunal d'Egalité pour l'assistance. ",158,261,297,,
,,,,Apply for visa,14,Faire une demande de visa,25,General info,12,Information en générale,23,"There are 14 types of temporary residence visas. Know your type before you start the online application. See the 'Visa Types' section or visit http://www.vfsglobal.com/dha/southafrica/index.html for more info, or call VFS 012-425-3000.

",237,Il y a 14 sortes de visas temporaires en RSA. Reconnaissez la votre avant d'initier la demande en ligne. Sélectionnez: Type de Visa ou visitez http://www.vfsglobal.com/dha/southafrica/index.html ou appelez le VFS: 012-425-3000.,227,237,273,Key for Chr Count for SMSs,Key for Chr Count for USSD Screens (- character count calculation includes navigation which totals 36 characters max)
,,,,Apply for visa,14,Faire une demande de visa,25,Process time,12,Temps du traitemnent,20,"Depending on the category of visa, the process time varies. Temporary residence permit applications have a minimum processing time of 8-10 weeks.

",147,La durée du traitement varie selon les types de visa. La demande du permis de la résidence temporaire à un minimum de 8-10 semaines de  traitement.,147,147,183,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,LGBTI Safety,12,Sécurité des personnes LGBTI,28,The Refugee act states that the LGBTI group can get protection if they are persecuted for their sexual orientation. Don’t be afraid to disclose your sexual orientation when applying for asylum. The RRO must treat your claim with confidentiality. ,246,L' Acte des réfugiés dit que les LGBTI persécutés pour leur choix peuvent trouver la protection. N' ayez pas peur de révéler votre orientation sexuelle lors de la demande d'asile. Le RRO devra traiter votre information avec confidentialité.,240,246,282,,
,,,,Education,9,Education,9,School fees,11,Frais scolaires,15,"If you can’t pay school fees, ask the school to reduce them by completing an exemption form. You must show proof of income (payslip/affidavit/letter of support) & give info on your expenses & responsibilities. Apply for exemption at the start of each term. Keep all letters & appointments with the school. If you ignore notices the school can make you pay. Find a NGO in the contact list for help with the form. Uniforms & learning materials also cost money. If you can’t afford a uniform, your child can wear clothes that resemble it, but must still go to school. Second-hand uniforms are cheaper. Ask at the school. You shouldn’t pay a registration fee. Public schools can’t ask your child to leave if you can’t pay.",718,"La réduction du minerval exige la preuve du revenu au début de chaque trimestre pour les parents / gardiens qui ne peuvent pas payer les frais scolaires, il faut demande l'école pour ce service avec les documents y relative exigés. Veuiller bien traiter des lettres de l'école, en les ignonat, vous pouvez etre traduits en justice. Trouver l'ONG sur la liste des contactes pour vous assister avec quelques besoins comme l'uniforme, livres, ou frais scolaires. Si vous pouvez pas payer l'uniforme, votre enfant doit aller a lé'cole avec les habits de couleurs de l'uniforme mais doit y aller. 
Les écoles de l' état inscrit gratuitement les enfants; vous ne devriez pas y payer les frias d'inscritpion.",701,718,754,,
,,,,Your Rights,11,Vos droits,10,LGBTI,5, Les personnes LGBTI,20,"SA’s Constitution protects the rights of Lesbian, Gay, Bisexual & Transgender individuals (LGBTI). LGBT victims of unjust treatment must go to the police. LGBT victims of hate speech must lay a complaint with the SAHRC. Ask for legal assistance if you’re struggling to lodge your claim. Go to the contact list for more info. For LGBTI support in Johannesburg: GALA 011-717-4239. In Pretoria: Out Wellbeing 012-430-3272. In Durban: Gay & Lesbian Network 033-342-6165.

",468,"La loi en RSA protège les droits des lesbien(ne)s. Un LGBTI abusé devra rapporter à la police, un LGBTI injurié devra faire une plainte au SAHRC. Un avocat peut l' aider à faire sa plainte en cas de difficultés. Voyez La Liste de Contact pour plus d' info. Pour le soutien des LGBTI Contactez GALA à Johannesburg: 011 717 4239/Pretoria; Out Welling: 012 430 3272/ Durban; Gay & Lesbien Network: 0333426165.",406,468,504,,
,,,,Your Rights,11,Vos droits,10,Arrest,6,Detention,9,"Valid permit holders are safe from arrest or detention, unless you break the law. You will need to provide proof or your temporary or permanent residence visa.",159,"Le titulaire d' un permis valide est hors d' une arrêstation, sauf si vous ne respctez pas la lois.Vous devriez présenter votre permis de residence ou visa.",156,159,195,,
,,,,Arrest,6,Arrêtez,7,Arrest/Detention,16,Arrêtés/Détention,17,"Valid permit holders are safe from arrest/detention unless you break the law. There are other exceptional circumstances. Police/immigration officials may request proof of your regularised stay in SA, or you may be arrested/detained. If arrested, you must prove you're allowed to be in SA with a valid visa. You'll go to a police station until the DHA verifies your ID within 48hrs. Never bribe an officer to avoid being arrested or get out of jail. This is against the law!",473,"Les titulaires d' un permis valide sont protegés contre la detention arrêstation, à moins que vous ne respectez pas la loi. Présentez votre permis à la police/ officiers d' immigration ou la poice quand ils vous le demande.Si vous n' avez pas votre permis, ils vous arrêtent. On vous détient pendant 48 heurs pour verifier votre identité avec DHA en RSA.Ne corrompez pas pour éviter la prison.C' est contre la loi.
",415,473,509,,
,,,,About LHR,9,À propos au LHR,15,What is LHR?,12,Qu' entendez-vous par LHR,25,"Lawyers for Human Rights is a NGO. We aim to promote awareness, protection and enforcement of legal and human rights. Our services are free of charge subject to the means test.",176,"Le LHR est une ONG dont le but est de promouvoir la conscientisation, protection et le renforcement des droits humains. Nos services sont gratuits a conditions de test des moyens.",179,176,212,,
,,,,Education,9,Education,9,Special needs,13,Les besoins spéciaux,20,Children with special learning needs can go to a special education school. Contact the Departmenr of Education and ask about schools. Placing your child in a special education school is a long process. Get your child on a waiting list as soon as possible.,255,les enfants avec des besoins educationnels spéciaux  peuvent aller dans des écoles spéciales.Contacez le DOE à ce propos.L' inscription peut etre un long processus.Mettez votre enfant sur la liste d' attente le plus tot possible.,229,255,291,,
,,,,Safety/Children,15,Sécurité/Enfant,15,Children without parent/guardian,32,Les enfants sans parents/guardiens,34,Children without a parent or guardian must be referred to the Department of Social Development. A social worker will be assigned to the child. The social worker will go to the Children’s Court. The court will confirm if the child is in need of care.,249,Les enfants seuls sont rapportés au Département du Developement Social.Un assistant social sera assigné à l' enfant et ira au tribunal des enfants où on lui dira les besoins de l'enfant.Le tribunal confirmera si l'enfant a besoins des soins nécessaires pour les enfants.,270,249,285,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Abuse Rights,12,Ddroits en cas d'abues,22,"Women and children have the right to live free from physical, verbal or sexual abuse. All types of abuse must be reported to the police. Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse by men or women is not acceptable and you can report them.",382,"Les femmes et les enfants ont le droit de vivre sans être sexuellement, verbalement ou physiquement abusés.Tout genre d' abus devra être rapporté a la police. Une ordonnance de protection peut proteger contre plus d' abus. Les abus par les hommes ou les femmes ne sont pas tolérés et doinvent etre rapportés",307,382,418,,
,,,,Arrest,6,Detention,9,Conditions,10,Conditions,10,The immigration/DHA officer should verify your documents in 48hr or release you. You must carry your docs on you or the officer must help you find it. You have the right to a phone call to get copies of your permit. The officer must try to confirm your status with the DHA. It’s your right to write a statement to the DHA if you disagree with the decision to detain/deport you. You can’t be detained for more than 30 days unless the court has a warrant. You may write a statement to the judge. The court must inform you of its decision in writing.,547,Les officiers d'immigration/DHA vérifierons votre permis pendant 48 heurs et vous libèreront.Vous devriez avoir votre permis avec vous ou l' officier vous aidera à le retrouver.Vous avez le droit à un coup de fil pour avoir la copie de votre permis et le droit de faire une déclaration écrite au DHA pour réfuser la détention/ déportation.La détention ne peut pas etre de plus de 30 jours à moins que le tribunal ait émis un mandat. Vous pouvez écrire un declarstion  au juge. Le tribunal doit vous répondre par écrit de la décision prise.,539,547,583,,
,,,,Temp visas,10,Les visas temporaires,21,Visitor,7,Visiteur,8,"Visitors' visas are for short visits to South Africa for the purposes of travelling, doing business, visiting family or friends, or attending sports events. ",157,"Les visas des visiteurs sont pour un court séjours en RSA dans le but de voyager, affaires, visite familiale ou amis, ou pour participer  aux évènements sportifs. ",163,157,193,,
,,,,More visas,10,Plus de visas,13,Medical care,12,Soins médicaux,14,Medical: When you travel to SA for medical care. You can’t work or stay longer than 3 months. You must be able to pay for the treatment. ,137,Médical: Quand vous venez en RSA pour les soins médicaux.Vous ne pouvez ni travailler ni y rester plus de 3 mois.Vous devez être en mésure de payer pour votre traitement.,170,137,173,,
,,,,More visas,10,Plus de visas,13,Relative,8,Parenté,7,Relative: When you are a direct family member of a South African citizen or someone who is a permanent resident of South Africa. ,129,Parenté: Quand vous êtes parentés à un sud-africain ou a une résident permanent  de l' Afrique du Sud.,102,129,165,,
,,,,Apply for visa,14,Faire une demande de visas,26,Paying fees,11, Payer les frais,16,"Pay by EFT, credit/debit card at centre or prepayment at a Standard Bank branch. Account name: VFS VISA PROCESSING SA (PTY) LTD; Bank: STANDARD BANK; Branch Code: 011545; Account number: 002012731",196,Payez avec une carte de crédit/ EFT ou à STANDARD BANK.Nom du compte:VFS VISA PROCESSING SA(PTY) LTD; Code de la branche: 011545; Le numero du compte: 002012731  ,162,196,232,,
,,,,More visas,10,Plus de Visas,13,Retired person,14,Les gens Pensionnés,19,Retired person: When you are elderly and want to retire in SA. There will be financial requirements which you would be required to meet.,136,Les gens Pensionnés: Quand vous êtes une personne âgée voulant avoir une pension en RSA.Il y aura des conditions financières que vous devriez remplir.,150,136,172,,
,,,,Visa Issues,11,Les visas émis,14,Transfer Visa,13,Visas transféré,15,"Lost or stolen passport? Transfer your temporary residence visa to your new passport. Apply for a transfer of temporary residence visa at a VFS visa centre.

",158,Perte ou vol de passport? Transferez votre visa de la  résidence temporaire dans un nouveau passport. Demandez un transfère de visa de la résidence tomporaire au centre VFS. ,174,158,194,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Protection,10,Protection,10,"If you’re afraid of more violence or feel threatened, you can go to court and get a protection order. You don’t need a lawyer. A protection order can order your abuser to stop abusing you, to stay away from you or force him/her out of your home. Documents like medical reports and photos of your injuries can help your abuse case.  If there’s enough proof of abuse, you’ll get an interim protection order and suspended warrant of arrest. ",438,"Prenez une ordonnance de protection au tribunal si vous avez peur de plus de violences ou abus. Pas bespoin d'u avocat, l'officier de protection peut donner l'ordre de stopper l'abus et de rester toujours d' une certaine distance de la victime. Les preuves comme le rapport médical, blessures, photos etc vous aident  dans le procès et on vous donne une ordonnance de protecion provisoir et un mandat d'arrêt suspendu si les preuves sont convainquantes. ",454,438,474,,
,,,,Qualifying for permanent residence,34,Qualifiés de résident permanent,31,Requirements,12,Conditions,10,You qualify for permanent residence if you've had a work/spousal visa for 5 years OR you are a child under 21 of someone with permanent residence OR you are a child of a citizen.,,Vous qualifiez pour la résidence permanentesi vouz/ et ou votre conjoint  aviez le visa de travail pour 5 ans; ou enfant de moins de 21 ans d' un resident permanent ou enfant du citoyen. ,187,178,214,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Report abuse,12,Rapporter un cas d' abus,24,"If you or your child suffers from abuse, you must report it to the police. The police will open a criminal case. You must make a statement. You’ll get a case number. An officer will investigate your case. Some police stations have special units for domestic violence, sexual offences and child protection. Go to a police station close to your home. If you don’t, your case will take longer to process. You’ll go for a medical examination and counseling.",453,"Rapportez votre abus ou celui de votre enfant à la police qui ouvrira un dossier sur l' affaire criminelle et vous en remettre le numéro apres avoir fait une declaration. l'officier va enqueter sur votre cas; certaines stations de police ont des unités spéciales pour les violence domestiques, officences sexuelles et protectio de l'enfant. Ouvrez le cas a la police proche de vous si non votre cas prendra longetmeps. Vous irez pour un examen médical et accompagnement.",470,453,489,,
,,,,Your Rights,11,Vos droits,10,Abuse,5,Abus,4,"If you are a victim of abuse, report it to the police.  Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse can happen when men feel angry or powerless. Get free legal help from selected women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.

",431,"Rapportez un abus à la police en cas d'abus tels que intimidaation, abus sexuelle, physique ou verbal. L'abus peut avoir lieu si l'home est en colere ou dans une position de faiblesse. Obtenez une assistance gratuite jurique des organisations des femmes et enfants au 0800150150.",279,431,467,,
,,,,Visa Issues,11,Les visas émis,14,Fix mistake,11,Réctifier une erreur,20,"Recitfication: fix a mistake on a temporary visa. You can fix a mistake at any VFS office in SA. You may have to pay a fee for this correction.

",145,Réctification: Réctifiez une erreur sur un visa temporaire. Vous pouvez la réctifier dans n'importe quel bureau de VFS en RSA.Vous pourriez payer un montant pour cette correction.,179,145,181,,
,,,,Apply for visa,14,Faire une demande de visa,25,Collection,10,Collection,10,"Collect at VFS or have representative collect. Applicant's passport is needed. The representative also needs an authorisation letter with the applicant's name, passport no., signature, own name, ID no. and copy of ID.",217,"Veuillez ou votre representant collecter au burea de VFS .Votre representant devra avoir une lettre d 'authorisation avec le nom de l' appliquant, no du passeport, signature, no d' ID et la copie de l' ID.",205,217,253,,
,,,,Apply for visa,14,Faire une demande de visa,25,Docs required,13,Document exigés,15,Appointment confirmation; visa fees receipt; valid passport/travel document; copy of passport; printout of completed online application form; and all supporting documents. ,172,"Rendez-vous confirmé; reçu des frais de visa, passport valide; copie de passport; formulaire de la demande de visa imprimé en ligne; et tous les autres documents à l' appui.  ",175,172,208,4+ SMS (481+ chr),4+ Screens (541+ chr)
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Disobey P.O.,12,Désobéir à l' ordonnance de protection,38,"If the abuser disobeys the order, you can get him/her arrested. You’ll need to go back to court a second time. Your abuser must also be there. The court will listen to your case. The court may give you a final protection order. If your abuser disobeys the order, he/she can get arrested.",287,"Si l' abuseur devient récidive, vous peuvez le faire arrêter.Retournez au tribunal avec sa presence. Le tribunal écoutera votre cas et on pourra vous une ordonnance de protection finale. Si l' abuseur désobei, il peut être arrêté. ",231,287,323,,
,,,,Statelessness,13,Cas d' apatridie,16,Legal advice,12,Conseils juridiques,19,"If you struggle to register a birth or access nationality in your country of birth, contact Lawyers for Human Rights on 011-339-1960 or 012-320-2943.",149,"Si vous avez des difficultés pour enregistrer une naissance ou pour avoir la nationalité dans votre pays d' origine, contacez LHR sur 011-339-1960 ou 012-320-2943.",163,149,185,,
,,,,Your Rights,11,Vos droits,10,Health,6,Santé,5,"If you have a valid visa you have the right to access medical care at clinics or hospitals. Hospital workers may not know your rights. Inform them. 

",150,"Si vous avez un visa valide vous avez le droit aux soins médicaux dans une clinique ou hôpital. Les travailleurs de l'hôpital peuvent ne pas connaitre vos droits, informez-les.",176,150,186,,
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,Trafficking,11,Traffic,7,"Human trafficking is a form of modern-day slavery where people are taken to another country under a false act. They’re exploited, can't leave and are tricked with false promises of good jobs and better lives. They're forced to work in brutal and inhumane conditions. Traffickers are dangerous and shouldn’t be confronted. Call the International Organisation for Migration (0800-555-999) or go to a police station if you know of someone who has been trafficked.",460,"Trafic d' humain: c' est l' esclavage moderne, les personnes sont prises dans un autre pays sous une fausse loi. Elles sont exploiées et n'ont pas de liberté de mouvementt. On les promis des bons travaux, une vie meilleure etc. Elles dans des conditions inhumaines. Les auteurs de traffic sont dangeureux et c'est difficile de les confronter. Contacez l'Organisation Internationale Pour Migration / IOM sur (0800555999) ou la police si vous connaissez  un cas.",460,460,496,,
,,,,More visas,10,Plus de visas,13,Treaty,6,Traité,6,Treaty: When there is a deal between South Africa and your home country. You can enter SA to take part in certain activities or programmes. ,140, Traité: Quand il y a une cenvention entre l' Afrique du Sud et votre pays d' origine.Vous pouvezentrer  en RSA pour participer dans certaines activités ou programmes.,167,140,176,,
,,,,Temp visas,10,Les visas temporaires,21,Work transfer,13,Transfert de tavail,19,Intra company work transfer: This is when the company you work for in your home country sends you to work in their South African branch of their offices.,153,Transfère de travail entre société.C' est quand la même société pour laquelle vous travaillez dans votre pays d' origine vous envoie travailler dans une de leur branche en RSA.,176,153,189,,
