,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Answer,Character Count,Translation,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,Apply for visa,14,Omba viza,9,Collection,10,Mukusanyiko,11,"Collect at VFS or have representative collect. Applicant's passport is needed. The representative also needs an authorisation letter with the applicant's name, passport no., signature, own name, ID no. and copy of ID.",217,"Chukua mwenyewe  katika VFS au tuma  mwakilishi kuchukua . Pasipoti ya mwombaji inahitajika . Mwakilishi  anahitaji barua idhini ambao ina  jina ya mwombaji, pasipoti namba , sahihi, majina yenyewe, ID namba na nakala ya ID .",225,217,253,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1581,,,,,,
,,,,Temp visas,10,Viza za Muda mfupi,18,General work,12,Kazi kwa ujumla,15,"General work: This allows you to work in SA. You need to prove you have work and meet other conditions, or it will expire after 6 months. ",138,"Kazi kwa ujumla: Hii inakuruhusu kupata kazi katika SA . Unahitaji kuthibitisha una kazi na  unaeneza sifa zingine , au itakuwa inaisha baada ya miezi 6.",153,138,174,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Corporate,9,Ushirika,8,Corporate: Groups of factory or farm workers can apply for corporate worker visas. You will need a copy of the main corporate visa application. ,144,Ushirika : Makundi ya wafanyakazi viwandani au shambani wanaweza kuomba viza  ya ushirika. Unahitaji nakala ya maombi kuu ya visa ya kampuni.,141,144,180,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Work transfer,13,Uhamisho wa kazi,16,Intra company work transfer: This is when the company you work for in your home country sends you to work in their South African branch of their offices.,153,Kazi kambuni uhamisho.Hii ndio kampuni unayo fanya kazi nayo inakutumia ufanye kazi nao South Africa branchi na ofisi zao,121,153,189,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Critical Skills,15,Ujuzi wa kitaalamu,18,Critical skills: When your skills are needed in SA. These skills are usually specilaised skills. To see if you have one of the skills visit http://bit.ly/1JGvPoA and view page 12. ,180,Ujuzi wa kitaalamu:Wakati ujuzi wako inahitajika SA. Ujuzi hii ni ujuzi maalum.Kama unaona una ujuzi huu nenda http://bit.ly/1JGvPoA na utazame pegi 12.,152,180,216,,
,,,,Temp visas,10,Viza za Muda mfupi,18,New Business,12,Biashara mpya,13,Business: When you want to open a business or become part of a business in SA. You will need to invest money first into the business venture. You will need to check what the requirements are.,191,Biashara:Ukitaka kufungua biashara au kuwa sehemu ya biashara SA. Unafaa kuwekeza pesa na biashara maridadi.Unahitaji kuangalia mahitaji.,137,191,227,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Visitor,7,Mgeni,5,"Visitors' visas are for short visits to South Africa for the purposes of travelling, doing business, visiting family or friends, or attending sports events. ",157,"Viza za wageni 'ni kwa ajili ya ziara fupi nchini Afrika Kusini kwa madhumuni ya kusafiri, kufanya biashara, kutembelea familia au marafiki, au kuhudhuria matukio ya michezo",173,157,193,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Study,5,Elimu,5,"Study: If you are a student and want to study in South Africa. You will be allowed to work while you're studying, but certain rules will apply to you.",150,"Masomo:kama wewe ni mwanafunzi na unataka kusomea South Africa.Utaruhusiwa kufanya kazi wakati unasoma,lakini baadhi ya sheria itatumika na wewe.",145,150,186,,
,,,,Temp visas,10,Viza za Muda mfupi,18,Exchange,8,Mabadilisho,11,Exchange: When you are younger than 25 years of age and you would like to take part in an exchange programme between your country and South Africa. ,148,Kubadilishana:Kama uki chini ya umri wa miaka 25 na ungependa sehemu katika mpango wa kubadilishana kati ya inchi yako na South Africa.,135,148,184,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1297,,,,,,
,,,,More visas,10,Aina zaidi za viza,18,Relative,8,Jamaa,5,Relative: When you are a direct family member of a South African citizen or someone who is a permanent resident of South Africa. ,129,Jamaa: Wakati wewe ni moja kwa moja familia ya raia wa Afrika Kusini au mtu ambaye ni mkazi wa kudumu wa Afrika Kusini.,119,129,165,,
,,,,More visas,10,Aina zaidi za viza,18,Retired person,14,Mtu mstaafu,11,Retired person: When you are elderly and want to retire in SA. There will be financial requirements which you would be required to meet.,136,Mtu mstaafu:Wakati wewe mzee na unataka kustaafu SA. Kutakuwa na mahitaji ya kifedha ambao unahitaji kuwa nayo.,111,136,172,,
,,,,More visas,10,Aina zaidi za viza,18,Medical care,12,Huduma ya matibabu,18,Medical: When you travel to SA for medical care. You can’t work or stay longer than 3 months. You must be able to pay for the treatment. ,137,Matibabu:Wakati unapo safiri SA kwa huduma ya matibabu.Huwezi kukaa au kufanya kazi zidi ya miezi tatu.Lazima uwe na uwezo wa kulipa matibabu.,142,137,173,,
,,,,More visas,10,Aina zaidi za viza,18,Treaty,6,Mkataba,7,Treaty: When there is a deal between South Africa and your home country. You can enter SA to take part in certain activities or programmes. ,140,Mkataba: Kama kuna mkataba kati Afrika ya Kusini na nchi yako.Unaweza kuingia SA kushiriki  katika shuguli au programu fulani.,126,140,176,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,562,,,,,,
,,,,Visa Issues,11, Masuala kuhusu viza,20,Legal Help,10,Msaada ya kisheria,18,"If you have visa application problems, a lawyer can help with the process. Know your rights! If you need general legal help with an immigration issue you must hire a private lawyer. TIP: Always ask about a lawyer’s fees before you accept their services. Tip: Always ensure your lawyer has the right qualifications. If you’re unsure, contact the Law Society of SA on 012-366-8800.",379,"Kama shida la ombi la viza, Mwanasheria anaweza kukusaidia mchakato.Jua haki yako!Kama unataka masaada wa maswala wa uhamiaji lazima ujari mwanasheria. Mwango: Daima uliza ada ya mwanasheria kabla kufanya kazi naye.Mwanga: Daima hakikisha mwanasheria ana sifa za haki. Kama hauna uhakika pigia Shirika la Wanasheria Afrika Kusini  012-366-8800.",344,379,415,,
,,,,Visa Issues,11,Masula kuhusu viza,18,Transfer Visa,13,Uhamisho wa viza,16,"Lost or stolen passport? Transfer your temporary residence visa to your new passport. Apply for a transfer of temporary residence visa at a VFS visa centre.

",158,Kupoteza au kuibiwa pasipoti? Hamisha mhuri wa viza yako kwenye pasipoti mbya.Omba uhamisho wa viza ya muda kwa kituo cha  VFS.,127,158,194,,
,,,,Visa Issues,11,Masula kuhusu viza,18,Fix mistake,11,Kurekibisha makosa,18,"Rectification: fix a mistake on a temporary visa. You can fix a mistake at any VFS office in SA. You may have to pay a fee for this correction.

",145,"Rekebisha :Kosoa makosa katika viza .Unaweza rekebisha makosa kwa ofisi za VFS ya SA,Unaweza lipa ada kukosoa kosa hili.",120,145,181,,
,,,,,,,,Back,4,Nyuma,5,,4,,,,,,
,,,,,,,,,,,,,702,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,Your Rights,11,Haki zako,9,Arrest,6,Kukamatwa,9,"Valid permit holders are safe from arrest or detention, unless you break the law. You will need to provide proof or your temporary or permanent residence visa.",159,"Wenye viibali halali wako salama habawezi kukamtiwa bure au kufungwa kizuizini,isipokuwa wanavunja sheria. Unahitaji kutoa ushahidi wa kibali au mhuri wa viza ya muda mrefu.",173,159,195,,
,,,,Your Rights,11,Haki zako,9,Work,4,Kazi,4,"As a migrant you need a relevant work visa to work in SA. WIth the right visa you can be employed or run your own business (you will need a business permit).

",159,Kama wewe mhamaji unahitaji kuhusika na kibali cha kazi SA.Kama una visa sahihi unaweza kuajiriwa au kufanya biashara(unahitaji kibali cha biashara).,149,159,195,,
,,,,Your Rights,11,Haki zako,9,Health,6,Afya,4,"If you have a valid visa you have the right to access medical care at clinics or hospitals. Hospital workers may not know your rights. Inform them. 

",150,Kama una visa sahihi una haki kuenda kliniki au hospitali.Wanfanyi kazi wa hospital labdi hawajua haki zako.Waeleze.,116,150,186,,
,,,,Your Rights,11,Haki zako,9,Education,9,Elimu,5,"You have the right to basic education in SA. You need a valid study permit. Have a different permit? Check if it allows you to study. Conditions may apply.

",157,Una haki ya kupata elimu ya msingi SA.Unahitaji utafiti halali kibali.Una kibali tofauti?Angalia kama inakuruhusu kusoma.Hali inaweza kuomba.,141,157,193,,
,,,,Your Rights,11,Haki zako,9,LGBTI,5,LGBTI,5,"SA’s Constitution protects the rights of Lesbian, Gay, Bisexual & Transgender individuals (LGBTI). LGBT victims of unjust treatment must go to the police. LGBT victims of hate speech must lay a complaint with the SAHRC. Ask for legal assistance if you’re struggling to lodge your claim. Go to the contact list for more info. For LGBTI support in Johannesburg: GALA 011-717-4239. In Pretoria: Out Wellbeing 012-430-3272. In Durban: Gay & Lesbian Network 033-342-6165.

",468," SA,hulinda,Lesbian Gay,Bisexual na Transgender  (LGBTI). LGBT Wathirika wanaenda kichuo cha polisi.LGBTI mwathirika chuki na kulaumu kwa SAHRC.Omba msaada wa kisheria.Nenda kwa mwasiliano kwa LGBTI sapoti ya Johannesburg: GALA 011-717-4239 kwa Pretoria:Out wellbeing 012-430-3272. Ya Durban:Gay&Lesbian Network 033-342-6165.",325,468,504,,
,,,,Your Rights,11,Haki zako,9,Abuse,5,Unyanyasaji,11,"If you are a victim of abuse, report it to the police.  Remember: a protection order can prevent more violence. Violence can mean intimidation, physical, sexual or verbal abuse, being threatened with abuse or when you lose your freedom. Abuse can happen when men feel angry or powerless. Get free legal help from selected women and children’s organisations or call the toll-free helpline on 0800-150-150 for help and counselling.

",431,"Kama wewe mwathirika wa unyanyasaji, ripoti kituo cha polisi.Kumbuka :ulinzi kuzuia vurugu zaidi. Kumbuka. Amri ya mahakama ya ulizi huzuia vurugu. Vurugu huweza kua vitisho, kupigwa ,kijinsia au matusi,Vitisho vya unyanyasaji au kama unapoteza uhuru .Unyanyasaji unaweza tokea wakati mwanaume ana hasira au hana nguvu.  Pata shauri ya kisheria ya bure kwenye mashirika ya wanawake na watoto au piga simu bure  0800-150-150 kupata msaada na nasaha.",448,431,467,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1552,,,,,,
,,,,Arrest,6,Kukamatwa,9,Arrest/Detention,16,Kushikwa/kuwekwa kizuizini,26,"Valid permit holders are safe from arrest/detention unless you break the law. There are other exceptional circumstances. Police/immigration officials may request proof of your regularised stay in SA, or you may be arrested/detained. If arrested, you must prove you're allowed to be in SA with a valid visa. You'll go to a police station until the DHA verifies your ID within 48hrs. Never bribe an officer to avoid being arrested or get out of jail. This is against the law!",473,"Wenye viibali halali wako salama hawawezi  kukamatwa/kuzuizini bure isipokuwa wavunje sheria. Kuna hali nyingine ya kipekee. Polisi/afisa wa  uhamaji wanaweza kuomba kibali cha SA,ama unaweza kukukamata/ kuweka zuizini. Kama umekamatwa utaenda kituo cha polisi na DHA kuhakikisha ID yako baada ya 48hrs.Usijaribu kuhonga afisa ili usifungwe. Hio ni kinyume na sheria!",367,473,509,,
,,,,Arrest,6,Kukamatwa,9,What to do if arrested,22,Unachofanaya ukikamatwa,23,"There are legal ways out of your arrest. It may take time. Ask to speak to a lawyer. It is your right.  If you are arrested and have a valid visa, ask a friend or family to give copies of your valid documents to the DHA. Remember: You have the right to get legal representation if you are arrested. Tip: If you go to a magistrate’s court, you can ask for ‘legal aid’. You will be able to speak to a lawyer for free.",415,"Kuna njia ya kisheria kukamatwa .Inaweza chukua muda.Uliza kuzungumuza na wakili.Ni haki yako.Kama umekamatwa na una visa halali,uliza familia kama wanaeza kupa nakala ya visa yako kwa DHA.Kumbuka wana haki ya uwakilishi kama umefungwa.Tip:Ukifika kwa mwahaliku una haki ya mwanasheria",285,415,451,,
,,,,Arrest,6,Kukamatwa,9,Conditions,10,Hali,4,The immigration/DHA officer should verify your documents in 48hr or release you. You must carry your docs on you or the officer must help you find it. You have the right to a phone call to get copies of your permit. The officer must try to confirm your status with the DHA. It’s your right to write a statement to the DHA if you disagree with the decision to detain/deport you. You can’t be detained for more than 30 days unless the court has a warrant. You may write a statement to the judge. The court must inform you of its decision in writing.,547,Uhamaji/DHA afisi unaweza kuverify kati zako kwa 48hr ama akuwachilie.Lazima ubebe hati zako au afisa akusaidie kuzitafuta.Afisa athibitishe hadhi yako na DHA.Ni haki yako kuandika kauli DHA ulipokubali uamuzi/kufukuzwa.Uwezi fukuzwa zaidi ya siku 30 isipokuwa mahakamani ina kibali.Unaweza andika kauli.Mahakama lazima waku ambiye uamuzi.,339,547,583,,
,,,,Arrest,6,Kukamatwa,9,Deportation Centre,18,Kituo cha kufukuzwa,19,"If you are taken to the Deportation Centre, you may contact a lawyer for legal advice. LHR visits the centre every week. Ask your family to notify Lawyers for Human Rights about your situation and that you need help. If you don’t have legitimate reasons to stay in SA with the necessary documents, you’ll be kept at the centre and deported. Contact Lawyers for Human Rights if your conditions of detention are unsafe or violate your dignity. ",442,"Kama umepelekwa kituo cha kufukuzwa,pigia mwana sheria kwa usaidizi. LHR hutembelea kila wiki.Uliza familia yako kama wanajua Lawyers for Human Rights kama najua hali yako na unataka usaidizi. Kama hauna namna yeyote kuishi SA na hati halali, utaekwa kituo cha kufukuzwa. Pigia Lawyers for Human Rights kama hali yako ni mbya.",326,442,478,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,1897,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Helplines,9,Usaidizi,8,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Corruption: 0800-701-701; CCMA: 0861-16-16-16; Abuse: 0800150150; or 0123-48-1234 or 011-838-0411; Childline: 0800-055-555; AIDS: 0800-012-322 or 0800-110-605; LoveLife: 0800-121-900.,289,DHA: 0800-60-11-90; UNHCR: 012-338-5302; Be Court Wise: 083-229-9440; LifeLine Counselling: 0861-322-322; Corruption: 0800-701-701; CCMA: 0861-16-16-16; Abuse: 0800150150; or 0123-48-1234 or 011-838-0411; Childline: 0800-055-555; AIDS: 0800-012-322 or 0800-110-605; LoveLife: 0800-121-900.,289,289,325,,
,,,,Useful Services,15,Huduma muhimu,13,Gov Offices,11,Offisi ya Gov,4,,0,,,,,,
,,,,Useful Services,15,Hudama muhimu,13,NGOs,4,NGOs,4,,0,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Legal,5,Kisheria,8,,0,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Basic Needs,11,Mahitaji ya msingi,18,,0,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Counselling,11,Ushauri nasaha,14,,0,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Shelters/Food,13,Makao/Chakula,13,,0,,,,,,
,,,,Useful Services,15,Huduma muhimu,13,Public Health,13,Afya ya Umma,12,,0,,,,,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,325,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,2: Life in SA,13,Maisha ya SA,12,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Step 2: Life in SA,18,Step 2:Maisha ya SA,19,,,,,,,,,,,,,,,,
,,,,Work,4,Kazi,4,Working,7,Kazi,4,"As a migrant you need a relevant work visa to work in SA. With the right visa you can be employed or run your own business. If you want to set up your own business in South Africa, you need to have a valid business permit. 

",225,"Mhamaji unahitaji husika viza ya  kufanya kazi SA. Na viza sahihi unaweza kufanya kazi au kufanya biasahara. Kama unahitaji kufanaya biashara Afrika Kusini, unahitaji kibali halali ya biashara.",193,225,261,,
,,,,Work,4,Kazi,4,Own Business ,13,Mwana Biashara,14,There are different types of business permits you can get. You will be required to invest a prescribed financial capital contribution. Please go to http://www.vfsglobal.com/dha/southafrica/ for more info.,204,Kuna aina tofauti ya vibali ya biashara unaweza pewa.Unahitajika kuwa na mtaji fulani kama mchango wa kifedha.Tafadhali nenda http://www.vfsglobal.com/dha/southafrica/mwengineo.,177,204,240,,
,,,,Work,4,Kazi,4,Security/Teacher,16,Usalama/Mwalimu,15,"SECURITY/CAR GUARD: You must register at PSIRA.  Only SA nationals, permanent residents & refugees with immunity can work as guards. TEACHER: If you are a public school teacher you need to check your international teaching qualification with the SA Qualifications Authority (SAQA). The SAQA evaluation doesn’t guarantee a job. Also register with SA Council for Educators (SACE). Go to www.sace.org.za for more info.",415,"USALAMA/CAR GUARD:Lazma kusajili kwa PSIRA. Tu SA Raia,Makaazi Ya Kidumu na Wakimbizi kinga ndio wanaeza fanya kazi ya usalama.MWALIMU:Kama wewe ni mwalimu wa umma angalia  mafundisho wakimataifa na (SAQA). Tadhamini haimanishi utapata kazi SA Council for Educators(SACE).Nenda www.sace/org.za mengineo.",303,415,451,,
,,,,Work,4,Kazi,4,Nurse,5,Muguuzi,7,"Migrants with foreign nursing qualifications must register with the South African Nursing Council (SANC). Visit www.sanc.co.za for a list of documents you'll need to submit. If you're already registered back home, you need a SANC affidavit. Your qualification and experience will be evaluated. If you meet the SANC requirements, you must write an entry exam based on your area of competence. If your application is successful, you must submit a registration form and pay a fee.",477,"Wahamaji wenye sifa uugzi kigeni  wasajili na South African Nursing Council(SANC).nenda www.sanc.coza kwa orodha unahitaji kuwasilisha.Kama umesajili rudi nyumbani,unahitaji SANC chukua hati ya kiapo.Kufusu yako na uzoefu tathmini.",231,477,513,,
,,,,Work,4,Kazi,4,Doctor,6,Daktari,7,"The Department of Health (DOH) employs foreign doctors with the right qualifications and experience in government hospitals. To register, contact the DOH’s Foreign Workforce Management Programme (FWMP) on 012-312-0467. To register, you need a job offer from a government hospital or health department. Apply for a formal endorsement from FWMP. When you have a job offer and endorsement, apply to register with the Health Professions Council of SA (HPCSA): 012-338-9350.",469,"Idara Ya Afya(DOH) ajiri madaktari na kufusu kazi kwa hospitali ya serekali.Kusajili,Pigia DOH's kigeni kazi ya usimamizi mpango (FWMP) 012-312-0467.Unahitaji kazi Serekali au kwa Afya.Wakati una kazi kutoa mhuri ,Omba usajili Health Proffessions Counsil ya SA (HPCSA): 012-338-9350.",283,469,505,,
,,,,Work,4,Kazi,4,Discrimination,14,Ubaguzi,7,"There are laws in SA that protect you from discrimination or unfair treatment when you are at work. Your employer can’t discriminate against you because you’re an immigrant. The law protects you from unfair treatment. The law also protects your minimum working hours, leave, salary and the way you are dismissed.",312,"Kuna sheria SA ya kukulinda kwa ubaguzi au haki kutokana na kazi yako.Mfanyi kazi ukifanaya ubaguzi kwa sababu wewe mhamaji.Sheria ina linda wakatu wako wa kazi,kutoka,mshahara kufukuzwa kazi.",192,312,348,,
,,,,Work,4,Kazi,4,UIF/CF claims,13,UIF/CF madai,12,"You can claim from the UIF if you end up unemployed because you’re sick or have a baby. You need a 13-digit ID number to claim. If you are hurt or become infected with a disease at work and you end up being disabled, the Compensation Fund will pay out money. If you die because of your injuries your dependants will get money. The Compensation Fund will help to pay the medical bills.",384,"Unadai kutoka UIF ukikaa bila ajira kwa sababu uko mgonjwa au mtoto mgonjwa.Unahitaji 13-digits ID numbari za madai.Kama kuambukizwa na magonjwa kwa kazi au mwelevu,Mfuko wa fidia kulipa fedha.Kama ukiaga kwa sababu majeruhi wa tegemezi watalipa hela. Fidia ya fedha watalipa bili za matibabu.",293,384,420,,
,,,,,,,,Back,4,Nyuma,5,,0,,,,,,
,,,,,,,,,,,,,2519,,,,,,
,,,,Health,6,Afya,4,Your rights,11,Haki zako,9,Apply for a medical visa in your country before you travel to SA to get medical care. See 'Temporary Visa' section for info. Remember: this visa doesn’t mean you will get free health care. You'll have to pay for it yourself. Already in SA with a visa? You have the right to access medical care services just like anybody else. You can contact LHR when you’ve a problem accessing public health services. ,403,Omba visa ya matibabu kila hujasafiri SA kwa huduma ya matibabu.Ona 'Muda Visa' sehemu kwa maelezo.Kumbuza hii visa haimanishi utapata matibabu za bure.Unafaa kulipa. Tayari SA na Visa?Una haki ya kupata matibabu kama wenzio. Unaweza pigia LHR kama unashida na huduma afya ya umma.,281,403,439,,
,,,,Health,6,Afya,4,Health costs,12,Gharama ya afya,15,"People from SADC countries pay the same medical fees as SA nationals. As a SADC national, your healthcare payments will be based on how much you earn. Take the following with you to the hospital: ID; appointment card; payslip/proof of salary; proof of address. If you don’t have the right documents or if you're a non-SADC national, you'll pay the highest fees.",361,"Watu kutoka SADC nchi wanalipa ada ya matibabu SA kama  wanainchi. Kama SADC mwanainchi wa SADC, gharama ya matibabu hutokana na  mshahara wako. Peleka yafuatao hospitali:ID; kadi ya uteuzi, barua ya mshahara/ushahidi wa mapato;ushidi wa anuani. Kama hauna hati maaalumu au kama wewe siyo mwenyeji wa SADC ,utalipa ada zaidi.",325,361,397,,
,,,,Health,6,Afya,4,Clinic/Hospital,15,Kliniki/Hospitali,17,"Clinics provide treatment/medicine, mostly free. Make an appointment at your nearest clinic, unless it’s an emergency. Take your valid Section 22/24 permit. If you’re still waiting for yours, ask an NGO for a letter (see ‘Useful Services’). To go to hospital, you need a letter from the clinic unless it’s an emergency. Can’t pay the public hospital fees? Get an affidavit from the police to explain, or contact an NGO. DON’T go to a private Dr/hospital if you can’t pay the fees.",480,"Kliniki hutoa matibau/dawa,kwa bure. Fanya uteuzi kliniki ilio karibu na we.Chukua kifungu cha section 22/24kibali.Uliza NGO kwa barua('Huduma Muhimu;).Nenda hospitali,Unahitaji kliniki kama ni dharura.Huwezi lipa  ada umma?Unweza pata kiapo kituo ya polisi,au pigia NGO.USIENDE hospitali ya binafsi kama huwezi lipa.",317,480,516,,
,,,,Health,6,Afya,4,Trauma Help,11,Msaada wa Kiwewe,16,Suffering traumatic events (abuse/violence/natural disaster) can lead to Post-Traumatic Stress Disorder (PTSD). Signs of PTSD: struggling to sleep/concentrate; nightmares; flashbacks; anxiety; helplessness; fear. Share your story if you have PTSD. In counselling you’ll talk about your experience/feelings. Visit the Trauma Clinic in Joburg or Trauma Centre for Survivors of Violence & Torture in Cape Town. There are other trauma clinics in SA. See ‘Contact List’ for more info.,479,"Mateso ya kumiza (nyayasaji/vurugu/asili mafaa) yaweza kukupa Post-traumatic machafuko (PTSD). Ishara ya PTSD: Hofu shirika yako PTSD.Tembelea kliniki ya Trauma ya Joburg au Centa Trauma wanao hepuka vurugu&mateso ya Cape Town.Kuna kliniki zingine za Trauma ya SA.Ona Orodha'mwengineo.Mateso ya  matukio ya kuumiza (matumizi mabaya / vurugu / janga la asili) unaweza kusababisha Matatizo  Baada ya kiwewe (PTSD). Dalili za PTSD: kushindwa kulala / kujihusisha; jinamizi; kumbukuku; wasiwasi; unyonge; hofu. Ongea hadithi yako na mtu kama una PTSD. Katika nasaha, itabidi wewe uzungumze kuhusu uzoefu wako / hisia. Nenda Kliniki ya  kiwewe katika Joburg au Kituo cha Waathirika wa Unyanyasaji  & Mateso mjini Cape Town. Kuna kliniki nyingine za kiwewe katika SA.Ona 'Orodha ya Mawasiliano' kwa maelezo zaidi.",807,479,515,,
