locale,topic,question,answer
fr,Vos droits, LGBTI,"La constitution sud-africain protege les LGBTIs.Les victimes doinvent rapporter leurs abus a la police, ou au SAHRC.Veuiller demander l'assistance juridique si vous avex des problemes pour ouvrir des cas. Voir la Liste de Contact pour plus d' info.Le soutien des LGBTI: GALA a Johannesburg: 011 717 4239, ou Pretoria,  Wellbeing : 0124303272/ Gay & Lesbien Network a Durban: 033 342 6165.  "
fr,Vos droits,Abus,"Les femmes etles enfants ont le droit de vivre sans abus. toute sorte d'abus doit etre rapporte a la police.Souvenez-vous qu'une ordonnance de protection vous epargne de plus de violence. Violence peut signifier l'intimidation, abus physique, sexuel ou verbal ou lorque vous perdez votre liberte.L'abus des femmes et des enfants est illegal en RSA. Obtenez une assistance legale gratuite des organisations des femmes et enfamts ou appelez au 0800-150-150."
fr,Arrestation,Arrestation,"Les detenteurs des permis ne peuvent pas etre arretes sauf au cas de la violation de la loi. La police ou les officiers d' immigration peuvent vous demander votre permis pour verifier statut d'immigration en RSA. En cas d' arrestation, vous irez a la police  jusqu' a ce que l'officier de DHA verifie votre indentite dans les 48hrs. Ne corrompez pas un officier pour eviter l'arrestation ou detention, c' est contre la loi.Ayez toujours votre permis ou une copie du permis certifiee."
fr,Arrestation,Que faire,"Il y a plusieurs moyens de vous liberer. C' est dans votre droit, Si vous etes arretes et possedes un valide permis, demander a une personne de sur de donner la copie de votre valide permis au DHA.Vous avez droit a un avocat lors d' une arrestation. Au tribunale vous pouvez consulter   un avocat gratuitement. "
fr,Arrestation,Conditions,"Verifier les documents au DHA prend 48 hrs. Ayez toujours votre permis, c'est votre devoir. Vous avez des appels gratuits a faire a votre ami pour la copie de votre permis.Vous pouvez declarer par ecrit au DHA le refus de votre detention/deportation.Votre detention est normalement de 30 jours sauf s'il y a une prolongation de la court. So la court prend une decision, vous en etes informes par ecrit, si vous en etes pas d'accord vous pouvez donner des raisons."
fr,Arrestation,Deportation," Si on prend au Centre de Deportation, vous pouvez contactez un avocat. LHR visite le centre chaque semaine. Demandez a votre famille de leur informer que vous desirez un avocat. Si vous etes illegals en RSA, vous serez detenus, puis  deportes dans votre pays.Contactez LHR si vos conditions de detention ne sont pas bonnes ou sont en violation de votre dignite. "
fr,Les enfants,Accompagnes,"Si un enfant entre la RSA avec un membre de la famille qui n'est pas son parent, son pourvoyeus de soins doit aller au Tribunal des enfants pour legaliser cette charge. Le statut de refugie est donne aux dependants lorsque le responsble obtient le statu de refugie. Le cas de l'enfant peut etre plus fort que celui des parents - dans ce cas, faites une demande d' asile independanted. Le responsable / or parent de l' enfant doit toujours l'accompagner lors de son interview."
fr,Les enfants,Non - accompagnes,Un enfant demandeur d' asile est non accompagne lorsque la personne qui lui prend en charge ne se presente pas.Les enfants separes avec leurs parents avant ou pendant qu' ils quittaient leurs pays sont aussi consideres comme non- accompagnes.
fr,Les enfants,Documentation,"Les enfants demandeurs d' asile qui sont non - accompagnes doivent etre presentes au  DSD, un travailleur social s' occupera de lui. L'assistant social travaille avec DHA pour aider l'enfant avec la postulation de l'asyle au RRO, le travaililleur social fait l'investigation du cas de l'enfant et fait un rapport.Contactez un avocat si l' enfant n' a pas debonne raisons de demande d' asile. Les enfants doivent etre documentes, afin d'eviter qu'ils devennent apatrides. "
fr,Telephones d'urgence,Numeros de contact,DHA: 0800601190; HCR: 0123385302; Be Court Wise: 0832299440; Counselling sur la Ligne de la Vie: 0861322322; Corruption: 0800701701; CCMA: 0861161616; Abus: 0800150150/0123481234/0118380411; Enfants: 0800055555; Sida: 0800012322/0800110605; L' AmourVie/ LoveLife: 0800121900.
