lang,topic,question,"answer"
so,waxbarashada,gunada isgoolka,"hadadan awoodin in aad bixiso gunada isgoolka waydiiso in ay k dhimaan gunada tus warqada aad lacagta ku qaadato/cadayn io qoraal aad ku cadanayso codsigaaga taageere ka war bixi masuuliyada ku saaran sida aad wax u mamusho codso in lagaa cafiyo bilowga qoraalka ilaali dhamaan qoraalada balamaha isgoolka hadad is dhaga mariso ogasiisyada ama haday ku diidan waxaad la xidhiidhaa hayadaha aan dawliga ahayn cadsi qoraal ah sida dharka isgoolka o kle hadii uuna ilmahagu haysan dharka isgoolka xataa wuu adi karaa ama mid u eg ayu xidhan karaa ta labaad waxaad waydiin kartaa isgoolka mesha jaban isgoolka dad wanaha kuma wadiin karaan lacag guna ah isgoolka dadwaynaha"
so,waxbarashada,wax yalaha aad si gara ugu bahantahay,"wax barashada gaaraha aad meelaha sida gaarka ah wax loogu baro ciyaalka la xidhiidh waaxda wax barashada gaarka ah wadii messha waana arin wakhti qaadan karta hel liiska lagu qoro ciyaalka sida ugu suurta galsan"
so,waxbarashada,jamacada,"waad sii kordhisan karta aqoontaada, wadna badali kartaa culuumta aadbaranayso adoo iskubadalaya aqoontii dalkaga iyo aqoonta sare SA, shahaadada nooca sare ee SA waxay kaa caawinaysaa heltaanka shaqada, inkasta oo aqoonta qaxootiga aan damanad lasiinkarin hadana bari jaamacada farsamada lana xidhiidh qaybta farsamada iyo aqoonta dibada ee kuliyada aad baranayso. adoo waydiinaya heerkooda"
so,waxbarashada,tallooyin gara,"Waa in aad bixiso diwaan galinta ah. Barashada caadiga ah waxaad u gubin kartaaa. Waxada xaqiiji luuqada ingiriiska. Shahaadigaaga waxbarsho iyo koobiyada aad haysto. Kadibna hubi deeqdada wax barasho waxaad la xidhiidhi kartaa qaxootiga waxda waxbarshada waxyna hawshan haysay 28 sano taas oo ka koobnayday noocyo."
so,waxbarashada,wax barashada dadka waa wayn,"Mararka qaar waxaa dhacda hayadaha aan dawliga ahayn iyo gudiyada. Wax barasho dadka magan galyo doonka. Inta badan wax barashda dadka waawayn waa bilaash. Waa iskaa wax u qabso sida luuqada ingiriiska ama xirfado u ah shaqada. Dadka waawayn waxay kugu dhiiri is dhexgalka waxyaalo mihiim."
so,cuntada/seexadka/bangiyad,xuquuqdaada,"Waxaad xaq u ledahay cunto biyo guri. Hayada qaar way kaa caawin karaan xusuusin u tahay qaxootiga iyo magangalyo. Dadaashaa in aad adigu is caawiso waxa kale. Diimaha ka shaqeeya waxay mararka qaar waxay bixiyaan waxaa;laha loo istimalo jikada iyo musqusha waxayna u badan tahaysida kinisada"
so,cuntada/seexadka/bangiyad,adeega baahida degdega ah,"hayadaha qaar waxay kaa caawinayaan in aad hesho waxoogaa. Sida guri la aanta waxaad aragtaa waxa muhiimka. Waaxad kala socon kartaa khuseeya daryeelka jaraa idada ama xarumaha. Wakiilka ka ah bilowga bil kasta waxa laga yaaba in lagu way diiyo lacagta inta adan ka bixin guriga ama adan tagin waxaana muhiim."
so,cuntada/seexadka/bangiyad,guri ka saarid,"Sharcigu waxuu difaacaya qaxootiga iyo magangalyo. Sharci daro ah lagaga saaro guryaha ninka guriga, an maxkamad inta uuna huriga ka saarin in xoog uga saaro ama uu u hanjabo haday taas dhacdo waxada u xilsaaran guryaha 011-630-5035 ama 0800-046-873 hadad dareento hanjabaad."
so,cuntada/seexadka/bangiyad,dhib xaga bangiyada ah,"Hadii ay kugu adagtahay in aad furati akownti bangi SA. Ogato xaq qaxootiga iyo magan galyo doonka marka shaqaynayo hadii ay ku diidaa.Furo akownti waxaad ogaato in ay istimaali karaan warqada sharciga ama aydhiga waliba bangiyada FNB IYO STARDARD baangi waydii meesha kugu dhaw eed ka furan karto"
so,cuntada/seexadka/bangiyad,akowntigaga iyo iwm,"waan in aad noqoto 16 sano iyo kasii wayn sharci shaqaynaya waan in ad haysto waa in ad gacanta ku wadato aqoonsiga qaxootinimo iyo cadayn meesha aad dagantahay kirada aad bixiso warqada ad wax ku qadato mama dakhligaga akown furashdada waxaad u martaa wado sharciya waxay kaa cawin in aad furato durba"
so,cuntada/seexadka/bangiyad,qaybo kale,"kayd sashada iyo amahaha waa kuwa lagala shaqeeyo qaxootiga ama loo furo sida dadka jamaca ah kuwaas oo si wada jira wax ugu rita mel kuwaas maha ku caadiga ah"
so,deeqda bulshada,wax khu seya adeega,"aqoonsiga qaxootiga wa xay awoodaan caawin bulsho xaalado badan awgeed loogamana baahna warqada sharciga qaxootiga"
so,deeqda bulshada,laxaad la aanta,"tan ku meel gaadhka ah ama daganshaha ah waxay xaqiijinaysaa qaxootinimada kaas oon shaqayn karin marka loo fiiriyo xanun xaga maskaxda ah ama dhinaca jidhka ah sida laxaad la aan sidoo kle ciyaalka ka yar 18 sano ayaa ka mida wayna codsan karaan"
so,deeqda bulshada,ilaalinta waraqaha laysu diro,"aqoonsiga qaxootinimo ee soo caydhinta waalidka waxay iska diwaan galin karaan waaxda arimaha bulshada iyo hormarinta si ay u codsadaan daryeel xusuunow waa in ay maxkamad xaqiijiso in lagugu khasbay waxayna laguu balan qaadi karaa ilaa 2 sano wakhti ku eg"
so,deeqda bulshada,gar gaarka bulshada,"sadaqada bulshada ka timaada waa wax xadidan k afrika arimaha khuseeya waxay iinta waxaad u baahan tahay codsiga meesha kugu dhaw u aqoonsashada baahida sida saasa/sassa waxaanad iska diwaan galin kartaa mesha kugu dhaw adiga oo qadanaya dukumintiga aad haysato una gubi"
so,deeqda bulshada,codsiga,"Xaqiijin kasta waxay u bahantahy qeexid iyo cadaymo sharciyo ama cosiyo si laguu caawiyo. Waxaad booqata www.sassa.gov.za ama wac0800-60-10-11 waana in aad ka codsata saasa/sassa xafiiskeeda kugu dhaw."
so,deeqda bulshada,arimaha khuseeya hayada caydha bixisa iyo kuwa lamidka ah,"EC: BKB Bui, corner of Fitzpatrick & Merino Road, Quigney; Tel: 043-707-6300; Email: GrantsEnquiriesEC@sassa.gov.za NC : Du Toitspan Building 95-97, Du Toitspan Road, Kimberley: Tel 053-802-4900 ; WC : Golden Acre, Adderley St, Cape Town Tel: 021-469-200; Email: GrantsEnquiriesWC@sassa.gov.za"
so,deeqda bulshada,arimaha khuseeya hayada tageera qaysaska danyarta ah mesha sida kuwasulu natala,"FS: African Life Bui,75 St. Andrews Street, Bloemfontein Tel: 051-410-0804/5 Email: GrantsEnquiries@sassa.gov.za GAUTENG 28 Harrison St, Johannesburg Tel: 011-241-8300 Email: GrantsEnquiries@gov.za KWAZULU-NATAL 1 Bank St, Pietermaritburg Tel: 033-846-330 Email: GrantsEnquiriesKZN@sassa.gov.za"
so,deeqda bulshada,arimaha khuseeya hayada caydha bixisa iyo kuwa lamidka ah gar ahan linboopo,"MPUMALANGA: 18 Ferreira St, Nelspruit. Tel: 013-754-9428 Email: GrantsEnquiriesMP@sassa.gov.za NORTH WEST: Master Centre Industrial, Mafikeng. Tel: 018-388-0060 Email: GrantsEnquiriesNW@sassa.gov.za LIMPOPO: 43 Landros Mare, Polokwane Tel: 015-291-7400 Email: GrantsEnquiriesLIM@sassa.gov.za"
so,amaanka ama dib u dajinta,jinsi nacaybka,"jinsi nacayku waa ficil nacaysho kaas oo lagula kaco kaliya dadka aajaanibta ah wana bila sabab aan hore loo arag hadaba hadad tahay dhibane lagula kacay jinsi nacayb waa in aad war galisa booliska kuugu dhaw goobtaada waa in aad u sharaxdo say wax kuu gaadheen boolisku waxay kuu furayaan kiis lanbar waa in aad xajiso kiis lanbarka hadii aad lumiso sharcigaga waan in aad booliska ka soo qorato cadayn boolis taas oo cadaynaysa say wax ku gaadheen iyo xaladada kadib aad xafiiska qaabilaada qaxootiga si aad u hesho sharci cusub"
so,amaanka ama dib u dajinta,dibudajinta,"Mararka hayada qaxootiga aduunka waxay waxaycaawisaa qaxoootiga si ay meel uga kaxayso. U dajiso ama dib u dajin waaana afar nooc/4 1 dib u dakin wadanka gudihiisa ah 2dib u celin. Qoys dib u dajintu maaha nooc ka mida magan. Hawlo u gaara hayada qaxootiga, aduunka taas oo lagu xaalada iyo aduunka."
so,amaanka ama dib u dajinta,magangaliyada wadan sadexaad,"Dib u dajintu wa caawin qaxooti iyada ama isaga badhaha. Qoyska sida ninka ama naagta/ciyaalka oo kale wana la xidhidhi kisas la aqbalay. hadii SA qaxootiga wadanka waana dhibaata guud o. Wadanka dhan ama jinsi mana khusayso codsiga dib u dajinta aduunka waxay isku in ay kwarato bayada inta ayna dib u dajinta."
so,amaanka ama dib u dajinta,shuruudaha,"hadii ayna amaan ahayn wadanka SA. Qaxootiga SA waan laga codsado. Si cawin loga helo waxad haysta 4 nooc oo dib u jin ah danbiga SA ama jinsi nacaybka ama shaqo la aanta kuwaas looma codsan karo dib u dajin hayada qaxootiga aduunka waxay isku dayda cimiri dheer bayada in ayna go aansan dib u dajinta."
so,amaanka ama dib u dajinta,codsiga,"utag UNHCR doo balanka qabsanaya malinka isniinta, unhcr waxay lakulantaa qaxootiga maalinka taladada ah, unhcr waxay fiirindoontaa codsigaaga haday codsigaaga kuqanacdo waxay kuu gudbin wadan sadexaad hadii wadankaasi kuqanco in lagu siiyo degenaansho waxaad mari maraanmar kale waxana maridoontaa caafimaad, wakhtiga waxa laga yaabaa inay 1-ilaa 2 sano qaadato."
so,amaanka ama dib u dajinta,dib u dajinta k.afrika,"dib u dajinta caalamiga ah waa kaxayn qaxooti iaga iyo qoysas koda SA. Xalada karo u dhawdahay in aad hesho nolol ka fiican hayada q, aduunka qaabka dib tusale ma codsan kartid baabur raac hadaba.hadii aad tahay dib u dajin gudaha ah kuu radin meel aman ah lgaadhi raca way kaa cawin karaan."
so,amaanka ama dib u dajinta,celinta,"Dib celinta iskeeda waa marka qaxootigu goosto in uu noqdo gurigiisa. Foomka codsiga h,q, aduunka,ama sharciyaqanda.u ,x, adamaha waxay kula karaan su aalo t sharciya. Xaqiijiso akhbaaratada waxana dib loogu dirayaa taloyinka unhcr/HQA ama IOM/HSA iyagana ka go aan gadhi doona talooyinka aad ku noqon"
so,amaanka ama dib u dajinta,dib u midaynta,"Hadii ad is waydeen xubno qoyskaga ka mida ah intii qaxaysay. Kugu la noolan karaan halka aad jogto xaalada la aqbali karo unhcr/HQD waxay kaa caawin karaan safarka si ad u codsato la xidhiidh/HTL/UCTM\ama a qaxootiga waana in aad codsiga ka soo bilowdo waxda sharciyada gar ahan xafiiska qabilada qxootiga."
so,amaanka ama dib u dajinta,raadka qoysaska,"hayada lanqayrta cas SA. Sidoo kale HQ ADUUNKA WAXAY KAA CAWINAYAAN dib u midaynta qoysaska difaaca ciyaalka. Nadaanka kuu caawin karto hayada. Xidhiidh u qofka iyo qoyskiisa sida in meel uu kala xidhiidho. Shaqadoodu qof meeshee ugu danbaysay cida halka laga heli karo hawlaha."
so,xuquuqda guriga iyo galmada,xuquuqdad guriga iyo arimaha galmada,"sharciga wadanka waxuu difacayaa galmada arimaha la xidhiidha sida khaniiska iyo jinsiyada hadaad tahay dhibane habdhaqankaas waa in aad wacdo booliska k afrika ama hayada arimahs u dooda ayaad la xidhiidhi kartaa"
so,xuquuqda guriga iyo galmada,amaanka arimaha khuseeya guriga dhexdiisa,"hab dhaqanka qaxootiga arimaha gal,mada hadii koox ad tihiin waxaad difaac ka heli kartaa xeer ilaalinta nadaamka galmada hana ka cabsan habdhaqanka galmada xilyada aadc wax codsanayso oo kale sida sharcga wana in aad u sheegto si kalsooni ku jirto"
so,xuquuqda guriga iyo galmada,caawinta guriga dhexdiisa,"la xidhiidh H SH U DOD XUQQUDA ADAMAHA iyo kuwa kale ee sharciyada booqo www.LHR.org ama 011-3391960 ama012-320-2943"
so,xuquuqda guriga iyo galmada,ka cawinta xadgubka,"xad gudubku waa wax sharciga k afrika kan soo hor jeeda hel kuwo si bilaasha kuu cawiya sida ciyaalka iyo haweenka ama wac 0800-150-150 si laguu caawiyo talona laguu siiyo"
so,xuquuqda guriga iyo galmada,arimaha khuseeya xuquda in laga cawiyo xadgubka,"haweenka iyo carurta waxay heli karam difaac iyu xuquuq noc kasta oo ka mida xadguduka wana in lala xidhidho booliska difaacid waxayna kii surta galin ilalin fara badan waxaa suurta gal ah in lagugu sameyay xad gudub galmo ama mid jidh ah ama aad lumisay xoriyadada xadgubka dumarka, ciyaalka waa sharic dar k afrika"
so,xuquuqda guriga iyo galmada,war galinta xadgudubka,"hadii adiga ama ilmahaaga u dhib qabo kaas. Waalid ka boolisku waxay kuu furayaan kiis in danbi lagaa galay wana in aad booliska u sheegto. Waxa ku helay waxay ku furi kiis boolisku waxay leeyihiin hayado u xilsaaran arimaha xadgububka galmada iyo difaaca ciyaalka. Booliska kugu dhaw waxanad he;aysa dawo iyo talo"
so,xuquuqda guriga iyo galmada,difaacida,"Hadaad ka cabsato qalaalse badan ama hanjabaad badan. Waxaad aadi kartaa maxkamada waxayna ku siin difaacid.Codsiya umana baahnid sharci yaqaaan xadgububkana.Hadad laga buriya guriga. Lacalhaday wax kugaran dawac ama wax lamiid aah. waxad gen maxakamaad.leeh cadeen.waxa ladira warqaad xariig."
so,xuquuqda guriga iyo galmada,armar diidada iyo be o boxska,"Ku xad gudbuhu haduuna ahayn mid u dalabka waad xidhi kartaa. Marka labaad waa in aad maxkamada walibana waa in uu kula socdo ku xad gudbuhu. Markaas waxaa maxakamadu in ay ku sii so difaac kama danbaysa waa hadii uuna u hogaansamine dalabka maxkamada isaga ama iyada markaas waa la xidha."
so,xuquuqda guriga iyo galmada,ganacsiga,"Ganacsiga bili adamka waxuu dhacaa kaliya marka dad ay adan wadan. Sharciya ama wax aan sax ahayn uga faa in ay ka waxayna ugu shaqaystaan. Ahwaxayna wax kasta lagu tilmaami karaa casriga ah waxaad la xidshiiidhi kartaa ururada caalamiga ah e socdaalka 0800-555-999 ama aad booliska waxaaad ogaan cida ku shaqa leh"
so,bilaa gurga ah,guri la aanta,"Qaran la aan waa qofka aan lahayn waa qof aan haysan. Mid kastaba qarka u saaran tahay in aad qaran. Aan tahay hadii dhalashadu tahay mid aan lagu go aan qadan taaas maha dhamaan. Qaran la aantu waa tusaale marka adan haysan diwaan galin dhalasho aqoonsi warqada ama baasaboor."
so,bilaa gurga ah,khatarta,"Qof aan lahayn sharci waxuu khatar u yahay qaran la aan marka uu helo waxoo guul ah am dhiba. Dhimashada ama ka maqanan ta meel dagaal ama sugida soo galootinimo. Arimaha goynta xadadka isku darka dhalashooyin warqada oganshahaga marka ayna kuu samaxayn in aad goyso xadka sababta is la hansha la aanta dhalasho."
so,bilaa gurga ah,diwaan galita dhalmada,"Warqada dhalashadu waxay cadaynaysaa goobta aad ku dhalatay waxayna cadaynaysaa walidkaaga. Dhalashadada gar ahaan dadka haysta dhalashada SA lkn kayimid macnaheedu maaha in dhalan ku dhasha wadanka SA. Llagu diwaan galiyo 30cisho hadii kale waa in laga galiyo dhib dhaca ah la xidhaa bisha dhiseenbar codsiyada."
so,bilaa gurga ah,helida dhalashada,"hadii sheegashadaadu tahay dhalasho k afrika ah ama hadii waalidkaa ku dhashay wadanka waxaa muhiim ah xiliga dhalashada iyo goobta aad ku dhalatay ama hadii walidku ahaa mid daganaasho ka helay wadanka oo markaas adna aad dhalatay ama hadii aad ku noolayd wadanka ilaa intii aad ka gaadhay 18 sano waxaad xaq u lahayd dhalasho wadanka ah codso adiga oo raacinaya codsigaaga si dhexdhexaada taas oo ka imanaysa waxda sharciyada hubi in ay surta gal tahay qof ku in uu heli karo laba dhalasho"
so,bilaa gurga ah,talo sharciga khusaysa,"hadii aad la dhiban tahay in aad is diwaan galiso ama dhalashada wadan kaaga la xidhiidh hayada sharciyaqaanada Q,ADAMAHA U DOODA011-320-2943 caawinta ama waanada"
